Title: Primitive mantle composition from McDonough & Sun (1995),

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 biotite_0 spinel_0 whitlockite 
25773.50 1623.08 99.947724 2.102354 53.918592 10.400333 18.708303 13.646471 0.000000 1.171671 0.000000 
25479.90 1622.77 99.948090 2.139229 53.889065 10.186011 18.842663 13.689514 0.000000 1.201608 0.000000 
25186.30 1622.47 99.948474 2.177985 53.857125 9.960092 18.984072 13.735329 0.000000 1.233870 0.000000 
24892.70 1622.17 99.948877 2.218571 53.822647 9.721774 19.133022 13.784191 0.000000 1.268672 0.000000 
24599.10 1621.86 99.949300 2.260926 53.785487 9.470167 19.290067 13.836400 0.000000 1.306252 0.000000 
24305.60 1621.56 99.949747 2.305490 53.745095 9.203720 19.456222 13.892268 0.000000 1.346953 0.000000 
24012.00 1621.25 99.950219 2.352077 53.701341 8.921267 19.632211 13.952229 0.000000 1.391093 0.000000 
23718.50 1620.95 99.950719 2.401147 53.653580 8.620949 19.819249 14.016693 0.000000 1.439101 0.000000 
23425.00 1620.65 99.951250 2.452693 53.601447 8.301045 20.018437 14.086203 0.000000 1.491426 0.000000 
23131.50 1620.34 99.951815 2.506678 53.544529 7.959699 20.230983 14.161361 0.000000 1.548566 0.000000 
22838.00 1620.04 99.952419 2.563669 53.481881 7.593901 20.458837 14.242904 0.000000 1.611227 0.000000 
22544.60 1619.74 99.953065 2.623642 53.412896 7.201154 20.703638 14.331645 0.000000 1.680090 0.000000 
22251.10 1619.44 99.953760 2.686847 53.336601 6.777765 20.967796 14.428663 0.000000 1.756087 0.000000 
21957.70 1619.13 99.954510 2.753230 53.252113 6.320330 21.253581 14.535087 0.000000 1.840169 0.000000 
21664.30 1618.83 99.955323 2.823502 53.157738 5.823150 21.564710 14.652486 0.000000 1.933737 0.000000 
21370.90 1618.53 99.956210 2.897700 53.052005 5.280672 21.904876 14.782657 0.000000 2.038299 0.000000 
21077.50 1618.22 99.957180 2.975840 52.933099 4.686154 22.278593 14.927802 0.000000 2.155692 0.000000 
20784.20 1617.92 99.958250 3.058688 52.798187 4.030081 22.692136 15.090774 0.000000 2.288384 0.000000 
20490.80 1617.62 99.959439 3.146366 52.644204 3.301298 23.152970 15.275210 0.000000 2.439392 0.000000 
20197.50 1617.31 99.960768 3.238832 52.467472 2.486835 23.669848 15.485466 0.000000 2.612316 0.000000 
19904.20 1617.01 99.962271 3.337017 52.262278 1.567228 24.255713 15.727713 0.000000 2.812322 0.000000 
19610.90 1616.71 99.963985 3.440956 52.021996 0.519388 24.926131 16.009734 0.000000 3.045781 0.000000 
19317.60 1616.40 99.964901 3.547959 51.909379 0.000000 25.236920 16.112460 0.000000 3.158183 0.000000 
19024.40 1616.10 99.965014 3.659426 51.926743 0.000000 25.193507 16.037378 0.000000 3.147960 0.000000 
18731.20 1615.80 99.965121 3.777721 51.946260 0.000000 25.146885 15.957254 0.000000 3.137001 0.000000 
18437.90 1615.50 99.965221 3.903476 51.968145 0.000000 25.096749 15.871618 0.000000 3.125233 0.000000 
18144.70 1615.19 99.965315 4.036844 51.992708 0.000000 25.042914 15.780214 0.000000 3.112634 0.000000 
17851.60 1614.89 99.965401 4.179328 52.020024 0.000000 24.984843 15.682172 0.000000 3.099034 0.000000 
17558.40 1614.59 99.965479 4.331458 52.050493 0.000000 24.922195 15.576964 0.000000 3.084370 0.000000 
17265.20 1614.28 99.965548 4.493615 52.084519 0.000000 24.854664 15.464158 0.000000 3.068592 0.000000 
16972.10 1613.98 99.965608 4.667667 52.122288 0.000000 24.781564 15.342598 0.000000 3.051490 0.000000 
16679.00 1613.68 99.965657 4.854367 52.164314 0.000000 24.702430 15.211570 0.000000 3.032975 0.000000 
16385.90 1613.38 99.965694 5.055005 52.211073 0.000000 24.616639 15.070081 0.000000 3.012895 0.000000 
16092.80 1613.07 99.965719 5.270444 52.263175 0.000000 24.523633 14.917318 0.000000 2.991149 0.000000 
15799.70 1612.77 99.965730 5.503484 52.321091 0.000000 24.422336 14.751397 0.000000 2.967422 0.000000 
15506.70 1612.47 99.965725 5.755346 52.385581 0.000000 24.312020 14.571208 0.000000 2.941570 0.000000 
15213.70 1612.16 99.965704 6.027525 52.457532 0.000000 24.191791 14.375435 0.000000 2.913421 0.000000 
14920.70 1611.86 99.965665 6.323840 52.537767 0.000000 24.060129 14.161376 0.000000 2.882553 0.000000 
14627.70 1611.56 99.965605 6.646394 52.627435 0.000000 23.915839 13.927207 0.000000 2.848729 0.000000 
14334.70 1611.26 99.965523 6.998358 52.727800 0.000000 23.757357 13.670406 0.000000 2.811601 0.000000 
14041.70 1610.95 99.965416 7.382399 52.840346 0.000000 23.583112 13.388680 0.000000 2.770879 0.000000 
13748.80 1610.65 99.965282 7.804341 52.966704 0.000000 23.390632 13.077662 0.000000 2.725942 0.000000 
13455.90 1610.35 99.965117 8.268144 53.108937 0.000000 23.177659 12.733994 0.000000 2.676382 0.000000 
13162.90 1610.05 99.964919 8.779351 53.269442 0.000000 22.941309 12.353178 0.000000 2.621639 0.000000 
12870.10 1609.74 99.964685 9.342067 53.450696 0.000000 22.678958 11.931632 0.000000 2.561331 0.000000 
12577.20 1609.44 99.964410 9.966128 53.656133 0.000000 22.385992 11.461646 0.000000 2.494510 0.000000 
12284.30 1609.14 99.964091 10.657438 53.889273 0.000000 22.058598 10.938080 0.000000 2.420701 0.000000 
11991.50 1608.84 99.963726 11.423478 54.154115 0.000000 21.692202 10.354584 0.000000 2.339347 0.000000 
11698.70 1608.53 99.963312 12.270471 54.455047 0.000000 21.282069 9.705595 0.000000 2.250130 0.000000 
11405.90 1608.23 99.962848 13.209400 54.797269 0.000000 20.821861 8.981909 0.000000 2.152408 0.000000 
11113.10 1607.93 99.962334 14.244506 55.185477 0.000000 20.306746 8.179172 0.000000 2.046434 0.000000 
