Title: Primitive mantle composition from McDonough & Sun (1995),

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
28123.10 1625.50 99.945294 45.0246 0.20111 4.45244 0.202677 0.38421 7.87204 37.8207 3.55194 0.360197 0.0290159 0.0210115 0.0800438
27829.40 1625.20 99.945558 45.0245 0.201109 4.45242 0.205312 0.384209 7.86964 37.8206 3.55193 0.360196 0.0290158 0.0210114 0.0800436
27535.60 1624.90 99.945832 45.0244 0.201109 4.45241 0.208047 0.384208 7.86716 37.8205 3.55192 0.360195 0.0290157 0.0210114 0.0800434
27241.90 1624.59 99.946116 45.0243 0.201108 4.4524 0.210883 0.384207 7.86459 37.8204 3.55191 0.360194 0.0290156 0.0210113 0.0800431
26948.20 1624.29 99.946412 45.0241 0.201108 4.45239 0.213835 0.384206 7.86191 37.8203 3.5519 0.360193 0.0290155 0.0210113 0.0800429
26654.50 1623.99 99.946719 45.024 0.201107 4.45237 0.216908 0.384205 7.85912 37.8202 3.55189 0.360192 0.0290155 0.0210112 0.0800426
26360.80 1623.68 99.947040 45.0238 0.201107 4.45236 0.220106 0.384203 7.85621 37.82 3.55188 0.360191 0.0290154 0.0210111 0.0800424
26067.20 1623.38 99.947374 45.0237 0.201106 4.45234 0.223448 0.384202 7.85318 37.8199 3.55187 0.36019 0.0290153 0.0210111 0.0800421
25773.50 1623.08 99.947724 45.0235 0.201105 4.45233 0.226941 0.384201 7.85001 37.8198 3.55186 0.360188 0.0290152 0.021011 0.0800418
25479.90 1622.77 99.948090 45.0234 0.201104 4.45231 0.230591 0.384199 7.84669 37.8196 3.55184 0.360187 0.0290151 0.0210109 0.0800415
25186.30 1622.47 99.948474 45.0232 0.201104 4.45229 0.234423 0.384198 7.84321 37.8195 3.55183 0.360186 0.0290149 0.0210108 0.0800412
24892.70 1622.17 99.948877 45.023 0.201103 4.45228 0.238448 0.384196 7.83956 37.8193 3.55182 0.360184 0.0290148 0.0210107 0.0800409
24599.10 1621.86 99.949300 45.0228 0.201102 4.45226 0.242677 0.384195 7.83572 37.8192 3.5518 0.360183 0.0290147 0.0210107 0.0800406
24305.60 1621.56 99.949747 45.0226 0.201101 4.45224 0.24714 0.384193 7.83167 37.819 3.55178 0.360181 0.0290146 0.0210106 0.0800402
24012.00 1621.25 99.950219 45.0224 0.2011 4.45222 0.251851 0.384191 7.82739 37.8188 3.55177 0.360179 0.0290144 0.0210105 0.0800398
23718.50 1620.95 99.950719 45.0222 0.201099 4.45219 0.256844 0.384189 7.82286 37.8186 3.55175 0.360178 0.0290143 0.0210104 0.0800394
23425.00 1620.65 99.951250 45.0219 0.201098 4.45217 0.262144 0.384187 7.81805 37.8184 3.55173 0.360176 0.0290141 0.0210102 0.080039
23131.50 1620.34 99.951815 45.0217 0.201097 4.45215 0.267782 0.384185 7.81293 37.8182 3.55171 0.360174 0.029014 0.0210101 0.0800386
22838.00 1620.04 99.952419 45.0214 0.201096 4.45212 0.273807 0.384183 7.80746 37.818 3.55169 0.360171 0.0290138 0.02101 0.0800381
