Title: Sanloup as cited by Taylor et al. (2014)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
90179.10 2092.69 100.023743 0.0368943257478999 0.042065 275.425660 -873254.791521 28.932599 -13.161853 780.889353 120.654754 -3.390 0.000 3.032206 3.475789 -0.503 0 0.000
89881.90 2092.17 100.023931 0.0371181123018125 0.042318 275.433235 -874102.680278 28.939209 -13.156808 782.618991 120.688084 -3.393 0.000 3.031661 3.475112 -0.504 0 0.000
89584.70 2091.65 100.024122 0.0373491172266732 0.042579 275.441412 -874949.561139 28.945890 -13.149754 784.279783 120.721676 -3.395 0.000 3.031106 3.474432 -0.505 0 0.000
89287.60 2091.13 100.024316 0.0375875127013255 0.042849 275.450190 -875795.145522 28.952642 -13.140624 785.869097 120.755525 -3.398 0.000 3.030541 3.473747 -0.505 0 0.000
88990.40 2090.61 100.024512 0.0378337898278663 0.043128 275.459617 -876639.920632 28.959471 -13.129337 787.385166 120.789668 -3.401 0.000 3.029970 3.473057 -0.506 0 0.000
88693.30 2090.09 100.024710 0.0380880208536763 0.043416 275.469675 -877483.340411 28.966374 -13.115833 788.825130 120.824087 -3.404 0.000 3.029395 3.472364 -0.508 0 0.000
88396.20 2089.57 100.024911 0.0383506018123744 0.043713 275.480395 -878325.634046 28.973354 -13.100036 790.186962 120.858805 -3.407 0.000 3.028818 3.471665 -0.509 0 0.000
88099.10 2089.05 100.025114 0.0386218259295321 0.044020 275.491793 -879166.772931 28.980414 -13.081877 791.468395 120.893831 -3.410 0.000 3.028241 3.470961 -0.510 0 0.000
87802.00 2088.53 100.025320 0.0389019886098834 0.044337 275.503880 -880006.729220 28.987553 -13.061287 792.667216 120.929174 -3.413 0.000 3.027667 3.470253 -0.512 0 0.000
87505.00 2088.01 100.025527 0.0391912605914015 0.044664 275.516655 -880845.220263 28.994772 -13.038212 793.781179 120.964831 -3.416 0.000 3.027099 3.469539 -0.514 0 0.000
87207.90 2087.49 100.025736 0.0394901876851827 0.045001 275.530164 -881682.732144 29.002076 -13.012564 794.808442 121.000837 -3.419 0.000 3.026539 3.468820 -0.515 0 0.000
86910.90 2086.97 100.025948 0.0397988110052018 0.045350 275.544385 -882518.729290 29.009462 -12.984305 795.746868 121.037174 -3.422 0.000 3.025989 3.468095 -0.517 0 0.000
86613.90 2086.45 100.026161 0.0401175526691433 0.045709 275.559347 -883353.444207 29.016932 -12.953366 796.594686 121.073865 -3.425 0.000 3.025454 3.467365 -0.520 0 0.000
86316.80 2085.93 100.026376 0.0404468490269589 0.046081 275.575078 -884187.108916 29.024491 -12.919675 797.350102 121.110933 -3.428 0.000 3.024936 3.466628 -0.522 0 0.000
86019.90 2085.41 100.026592 0.0407865663462608 0.046463 275.591534 -885018.942108 29.032131 -12.883228 798.011621 121.148344 -3.430 0.000 3.024437 3.465887 -0.524 0 0.000
85722.90 2084.89 100.026810 0.0411374196852251 0.046858 275.608779 -885849.686627 29.039861 -12.843928 798.577639 121.186148 -3.433 0.000 3.023961 3.465138 -0.527 0 0.000
85425.90 2084.37 100.027029 0.0414995529469371 0.047265 275.626803 -886679.072166 29.047678 -12.801749 799.046867 121.224341 -3.436 0.000 3.023511 3.464384 -0.530 0 0.000
85129.00 2083.85 100.027249 0.0418730886166576 0.047684 275.645593 -887506.832386 29.055580 -12.756670 799.418326 121.262914 -3.439 0.000 3.023090 3.463624 -0.533 0 0.000
84832.10 2083.33 100.027470 0.0422584550618865 0.048116 275.665176 -888333.207164 29.063569 -12.708640 799.690894 121.301890 -3.442 0.000 3.022700 3.462857 -0.536 0 0.000
84535.20 2082.81 100.027692 0.0426559260282910 0.048561 275.685556 -889158.185559 29.071647 -12.657628 799.863736 121.341278 -3.445 0.000 3.022345 3.462084 -0.539 0 0.000
