Title: Sanloup as cited by Taylor et al. (2014)

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 
84238.30 2038.04 100.027085 28.999523 1.210903 7.422235 3.633288 16.733097 0.000000 0.000000 
83941.40 2037.53 100.027281 29.006521 1.219831 7.417376 3.630560 16.738754 0.000000 0.000000 
83644.50 2037.02 100.027478 29.013594 1.229050 7.412174 3.627808 16.744562 0.000000 0.000000 
83347.70 2036.52 100.027677 29.020755 1.238605 7.406571 3.625036 16.750543 0.000000 0.000000 
83050.90 2036.01 100.027877 29.027974 1.248428 7.400660 3.622234 16.756652 0.000000 0.000000 
82754.10 2035.50 100.028079 29.035270 1.258565 7.394381 3.619408 16.762916 0.000000 0.000000 
82457.30 2034.99 100.028281 29.042642 1.269026 7.387728 3.616555 16.769332 0.000000 0.000000 
82160.50 2034.48 100.028485 29.050091 1.279817 7.380693 3.613678 16.775903 0.000000 0.000000 
81863.70 2033.97 100.028689 29.057617 1.290946 7.373270 3.610776 16.782626 0.000000 0.000000 
81567.00 2033.46 100.028894 29.065218 1.302415 7.365456 3.607849 16.789499 0.000000 0.000000 
81270.20 2032.95 100.029100 29.072899 1.314241 7.357238 3.604895 16.796524 0.000000 0.000000 
80973.50 2032.43 100.029305 29.080635 1.326371 7.348681 3.601914 16.803669 0.000000 0.000000 
80676.80 2031.92 100.029512 29.088467 1.338915 7.339655 3.598910 16.810987 0.000000 0.000000 
80380.10 2031.41 100.029718 29.096375 1.351831 7.330216 3.595882 16.818447 0.000000 0.000000 
80083.50 2030.90 100.029924 29.104357 1.365120 7.320365 3.592828 16.826044 0.000000 0.000000 
79786.80 2030.39 100.030131 29.112417 1.378798 7.310091 3.589748 16.833781 0.000000 0.000000 
79490.20 2029.88 100.030337 29.120549 1.392860 7.299401 3.586642 16.841646 0.000000 0.000000 
79193.60 2029.37 100.030542 29.128755 1.407318 7.288287 3.583511 16.849639 0.000000 0.000000 
78897.00 2028.86 100.030747 29.137033 1.422177 7.276750 3.580352 16.857754 0.000000 0.000000 
78600.40 2028.35 100.030952 29.145384 1.437443 7.264788 3.577167 16.865987 0.000000 0.000000 
78303.80 2027.84 100.031155 29.153806 1.453120 7.252400 3.573955 16.874331 0.000000 0.000000 
78007.20 2027.33 100.031358 29.162298 1.469216 7.239586 3.570715 16.882781 0.000000 0.000000 
77710.70 2026.82 100.031560 29.170855 1.485728 7.226351 3.567448 16.891328 0.000000 0.000000 
77414.20 2026.31 100.031761 29.179480 1.502668 7.212691 3.564153 16.899969 0.000000 0.000000 
77117.70 2025.80 100.031961 29.188172 1.520042 7.198605 3.560829 16.908696 0.000000 0.000000 
76821.20 2025.29 100.032160 29.196929 1.537855 7.184093 3.557475 16.917505 0.000000 0.000000 
76524.70 2024.78 100.032358 29.205750 1.556114 7.169156 3.554091 16.926388 0.000000 0.000000 
76228.30 2024.27 100.032555 29.214631 1.574818 7.153802 3.550678 16.935334 0.000000 0.000000 
75931.80 2023.75 100.032751 29.223553 1.593911 7.138098 3.547228 16.944317 0.000000 0.000000 
75635.40 2023.24 100.032945 29.232557 1.613534 7.121895 3.543750 16.953378 0.000000 0.000000 
75339.00 2022.73 100.033139 29.241621 1.633629 7.105267 3.540238 16.962487 0.000000 0.000000 
75042.60 2022.22 100.033331 29.250745 1.654203 7.088214 3.536692 16.971637 0.000000 0.000000 
74746.20 2021.71 100.033523 29.259927 1.675262 7.070734 3.533110 16.980821 0.000000 0.000000 
74449.80 2021.20 100.033713 29.269167 1.696816 7.052826 3.529492 16.990033 0.000000 0.000000 
74153.50 2020.69 100.033903 29.278461 1.718864 7.034497 3.525837 16.999263 0.000000 0.000000 
73857.10 2020.18 100.034092 29.287815 1.741433 7.015730 3.522141 17.008512 0.000000 0.000000 
73560.80 2019.67 100.034279 29.297222 1.764514 6.996536 3.518406 17.017766 0.000000 0.000000 
73264.50 2019.15 100.034466 29.306658 1.788034 6.977001 3.514626 17.026998 0.000000 0.000000 
72968.30 2018.64 100.034653 29.316173 1.812176 6.956941 3.510806 17.036251 0.000000 0.000000 
72672.00 2018.13 100.034839 29.325747 1.836881 6.936428 3.506940 17.045499 0.000000 0.000000 
72375.70 2017.62 100.035025 29.335377 1.862150 6.915467 3.503026 17.054734 0.000000 0.000000 
72079.50 2017.11 100.035210 29.345059 1.887987 6.894060 3.499064 17.063947 0.000000 0.000000 
71783.30 2016.60 100.035395 29.354797 1.914413 6.872194 3.495052 17.073137 0.000000 0.000000 
71487.10 2016.08 100.035580 29.364563 1.941339 6.849966 3.490985 17.082274 0.000000 0.000000 
71190.90 2015.57 100.035765 29.374413 1.968985 6.827162 3.486864 17.091402 0.000000 0.000000 
70894.70 2015.06 100.035950 29.384321 1.997265 6.803877 3.482686 17.100493 0.000000 0.000000 
70598.60 2014.55 100.036136 29.394283 2.026183 6.780113 3.478449 17.109539 0.000000 0.000000 
70302.40 2014.04 100.036322 29.404308 2.055778 6.755841 3.474149 17.118541 0.000000 0.000000 
70006.30 2013.53 100.036509 29.414388 2.086044 6.731070 3.469784 17.127490 0.000000 0.000000 
69710.20 2013.01 100.036696 29.424498 2.116890 6.705894 3.465351 17.136362 0.000000 0.000000 
69414.10 2012.50 100.036884 29.434700 2.148574 6.680078 3.460849 17.145199 0.000000 0.000000 
69118.00 2011.99 100.037073 29.444964 2.180998 6.653719 3.456272 17.153974 0.000000 0.000000 
68822.00 2011.48 100.037263 29.455288 2.214168 6.626818 3.451621 17.162681 0.000000 0.000000 
68525.90 2010.96 100.037455 29.465648 2.247999 6.599460 3.446887 17.171303 0.000000 0.000000 
68229.90 2010.45 100.037648 29.476102 2.282749 6.571413 3.442072 17.179869 0.000000 0.000000 
67933.90 2009.94 100.037842 29.486624 2.318324 6.542770 3.437169 17.188361 0.000000 0.000000 
67637.90 2009.43 100.038039 29.497215 2.354748 6.513517 3.432176 17.196775 0.000000 0.000000 
67341.90 2008.92 100.038237 29.507877 2.392045 6.483637 3.427088 17.205108 0.000000 0.000000 
67046.00 2008.40 100.038438 29.518572 2.430073 6.453259 3.421903 17.213337 0.000000 0.000000 
66750.00 2007.89 100.038641 29.529379 2.469188 6.422078 3.416612 17.221501 0.000000 0.000000 
66454.10 2007.38 100.038846 29.540258 2.509236 6.390232 3.411216 17.229573 0.000000 0.000000 
66158.20 2006.87 100.039054 29.551213 2.550261 6.357690 3.405707 17.237555 0.000000 0.000000 
65862.30 2006.35 100.039264 29.562210 2.592123 6.324576 3.400083 17.245429 0.000000 0.000000 
65566.40 2005.84 100.039478 29.573324 2.635180 6.290587 3.394334 17.253223 0.000000 0.000000 
65270.50 2005.33 100.039695 29.584520 2.679298 6.255843 3.388458 17.260920 0.000000 0.000000 
64974.70 2004.81 100.039914 29.595757 2.724308 6.220492 3.382453 17.268504 0.000000 0.000000 
64678.90 2004.30 100.040138 29.607117 2.770614 6.184196 3.376307 17.276001 0.000000 0.000000 
64383.10 2003.79 100.040366 29.618564 2.818068 6.147084 3.370016 17.283396 0.000000 0.000000 
64087.30 2003.28 100.040597 29.630099 2.866702 6.109134 3.363573 17.290689 0.000000 0.000000 
63791.50 2002.76 100.040832 29.641683 2.916345 6.070492 3.356976 17.297870 0.000000 0.000000 
63495.70 2002.25 100.041071 29.653398 2.967423 6.030806 3.350211 17.304958 0.000000 0.000000 
63200.00 2001.74 100.041315 29.665201 3.019750 5.990235 3.343277 17.311939 0.000000 0.000000 
62904.20 2001.22 100.041564 29.677060 3.073180 5.948902 3.336165 17.318814 0.000000 0.000000 
62608.50 2000.71 100.041817 29.689050 3.128128 5.906469 3.328864 17.325590 0.000000 0.000000 
62312.80 2000.20 100.042076 29.701135 3.184432 5.863070 3.321368 17.332265 0.000000 0.000000 
62017.10 1999.68 100.042339 29.713272 3.241883 5.818878 3.313674 17.338836 0.000000 0.000000 
61721.50 1999.17 100.042608 29.725543 3.300952 5.773514 3.305766 17.345311 0.000000 0.000000 
61425.80 1998.66 100.042882 29.737914 3.361480 5.727109 3.297633 17.351693 0.000000 0.000000 
61130.20 1998.14 100.043162 29.750331 3.423184 5.679887 3.289280 17.357979 0.000000 0.000000 
60834.50 1997.63 100.043448 29.762893 3.486646 5.631390 3.280677 17.364180 0.000000 0.000000 
60538.90 1997.12 100.043740 29.775544 3.551582 5.581842 3.271826 17.370294 0.000000 0.000000 
60243.40 1996.60 100.044038 29.788235 3.617727 5.531451 3.262727 17.376329 0.000000 0.000000 
59947.80 1996.09 100.044343 29.801069 3.685704 5.479730 3.253344 17.382291 0.000000 0.000000 
59652.20 1995.58 100.044654 29.813994 3.755224 5.426905 3.243679 17.388187 0.000000 0.000000 
59356.70 1995.06 100.044972 29.826950 3.825963 5.373227 3.233734 17.394026 0.000000 0.000000 
59061.20 1994.55 100.045297 29.840040 3.898553 5.318204 3.223472 17.399810 0.000000 0.000000 
58765.70 1994.03 100.045628 29.853159 3.972380 5.262313 3.212905 17.405560 0.000000 0.000000 
58470.20 1993.52 100.045967 29.866407 4.048072 5.205066 3.201996 17.411273 0.000000 0.000000 
58174.70 1993.01 100.046313 29.879727 4.125309 5.146709 3.190743 17.416965 0.000000 0.000000 
57879.20 1992.49 100.046665 29.893063 4.203737 5.087516 3.179149 17.422661 0.000000 0.000000 
57583.80 1991.98 100.047026 29.906510 4.283985 5.027000 3.167174 17.428351 0.000000 0.000000 
57288.40 1991.46 100.047393 29.919960 4.365368 4.965687 3.154833 17.434073 0.000000 0.000000 
56993.00 1990.95 100.047769 29.933517 4.448571 4.903048 3.142078 17.439820 0.000000 0.000000 
56697.60 1990.44 100.048153 29.947120 4.533212 4.839377 3.128911 17.445619 0.000000 0.000000 
56402.20 1989.92 100.048543 29.960705 4.618870 4.774997 3.115337 17.451502 0.000000 0.000000 
56106.80 1989.41 100.048941 29.974380 4.706265 4.709352 3.101303 17.457460 0.000000 0.000000 
55811.50 1988.89 100.049346 29.988017 4.794537 4.643102 3.086839 17.463539 0.000000 0.000000 
55516.20 1988.38 100.049760 30.001730 4.884467 4.575649 3.071882 17.469731 0.000000 0.000000 
55220.90 1987.87 100.050182 30.015454 4.975608 4.507335 3.056439 17.476073 0.000000 0.000000 
54925.60 1987.35 100.050610 30.029122 5.067475 4.438529 3.040516 17.482602 0.000000 0.000000 
54630.30 1986.84 100.051047 30.042847 5.160851 4.368635 3.024051 17.489310 0.000000 0.000000 
54335.00 1986.32 100.051490 30.056500 5.254813 4.298359 3.007076 17.496252 0.000000 0.000000 
54039.80 1985.81 100.051942 30.070190 5.350128 4.227116 2.989530 17.503416 0.000000 0.000000 
53744.60 1985.29 100.052401 30.083794 5.445878 4.155609 2.971444 17.510864 0.000000 0.000000 
53449.30 1984.78 100.052868 30.097434 5.542935 4.083175 2.952736 17.518588 0.000000 0.000000 
53154.20 1984.26 100.053340 30.110964 5.640191 4.010661 2.933471 17.526641 0.000000 0.000000 
52859.00 1983.75 100.053822 30.124518 5.738624 3.937327 2.913546 17.535020 0.000000 0.000000 
52563.80 1983.23 100.054310 30.137964 5.837184 3.863978 2.893017 17.543786 0.000000 0.000000 
52268.70 1982.72 100.054806 30.151413 5.936708 3.789978 2.871803 17.552924 0.000000 0.000000 
51973.50 1982.20 100.055308 30.164750 6.036249 3.716056 2.849942 17.562503 0.000000 0.000000 
51678.40 1981.69 100.055818 30.178086 6.136629 3.641592 2.827356 17.572509 0.000000 0.000000 
51383.30 1981.17 100.056335 30.191298 6.236840 3.567359 2.804095 17.583004 0.000000 0.000000 
51088.20 1980.66 100.056859 30.204510 6.337815 3.492656 2.780057 17.593982 0.000000 0.000000 
50793.20 1980.14 100.057389 30.217591 6.438449 3.418329 2.755315 17.605497 0.000000 0.000000 
50498.10 1979.63 100.057928 30.230677 6.539784 3.343597 2.729742 17.617553 0.000000 0.000000 
50203.10 1979.11 100.058472 30.243633 6.640662 3.269348 2.703425 17.630198 0.000000 0.000000 
49908.10 1978.60 100.059024 30.256591 6.742106 3.194813 2.676238 17.643434 0.000000 0.000000 
49613.10 1978.08 100.059582 30.269430 6.843038 3.120823 2.648254 17.657315 0.000000 0.000000 
49318.10 1977.57 100.060149 30.282276 6.944462 3.046625 2.619348 17.671841 0.000000 0.000000 
49023.10 1977.05 100.060721 30.295011 7.045295 2.973054 2.589598 17.687064 0.000000 0.000000 
48728.20 1976.53 100.061300 30.307696 7.145987 2.899777 2.558940 17.702991 0.000000 0.000000 
48433.30 1976.02 100.061887 30.320403 7.247091 2.826390 2.527275 17.719648 0.000000 0.000000 
48138.40 1975.50 100.062481 30.333016 7.347521 2.753726 2.494691 17.737077 0.000000 0.000000 
47843.50 1974.99 100.063083 30.345664 7.448332 2.681000 2.461039 17.755294 0.000000 0.000000 
47548.60 1974.47 100.063691 30.358234 7.548439 2.609048 2.426412 17.774336 0.000000 0.000000 
47253.70 1973.96 100.064309 30.370856 7.648913 2.537071 2.390649 17.794224 0.000000 0.000000 
46958.90 1973.44 100.064932 30.383412 7.748629 2.465934 2.353864 17.814986 0.000000 0.000000 
46664.00 1972.92 100.065563 30.395983 7.848215 2.395180 2.315929 17.836660 0.000000 0.000000 
46369.20 1972.41 100.066204 30.408630 7.948137 2.324466 2.276762 17.859266 0.000000 0.000000 
46074.40 1971.89 100.066851 30.421246 8.047359 2.254593 2.236458 17.882837 0.000000 0.000000 
45779.60 1971.38 100.067508 30.433966 8.146989 2.184740 2.194825 17.907412 0.000000 0.000000 
45484.90 1970.86 100.068172 30.446673 8.245908 2.115765 2.151996 17.933004 0.000000 0.000000 
45190.10 1970.34 100.068845 30.459453 8.344771 2.047194 2.107818 17.959670 0.000000 0.000000 
44895.40 1969.83 100.069528 30.472366 8.444068 1.978670 2.062191 17.987437 0.000000 0.000000 
44600.70 1969.31 100.070219 30.485312 8.542772 1.910986 2.015226 18.016328 0.000000 0.000000 
44306.00 1968.80 100.070921 30.498423 8.642018 1.843305 1.966694 18.046406 0.000000 0.000000 
44011.30 1968.28 100.071632 30.511594 8.740737 1.776449 1.916728 18.077681 0.000000 0.000000 
43716.60 1967.76 100.072352 30.524900 8.839521 1.709990 1.865183 18.110205 0.000000 0.000000 
43422.00 1967.25 100.073084 30.538410 8.938924 1.643531 1.811921 18.144034 0.000000 0.000000 
43127.30 1966.73 100.073825 30.552030 9.037969 1.577827 1.757045 18.179189 0.000000 0.000000 
42832.70 1966.21 100.074577 30.565824 9.137170 1.512507 1.700436 18.215712 0.000000 0.000000 
42538.10 1965.70 100.075342 30.579876 9.237181 1.447107 1.641893 18.253695 0.000000 0.000000 
42243.50 1965.18 100.076117 30.594080 9.336940 1.382439 1.581573 18.293128 0.000000 0.000000 
41949.00 1964.66 100.076903 30.608508 9.437017 1.318096 1.519318 18.334077 0.000000 0.000000 
41654.40 1964.15 100.077705 30.623251 9.538122 1.253582 1.454882 18.376665 0.000000 0.000000 
41359.90 1963.63 100.078517 30.638193 9.639106 1.189764 1.388480 18.420843 0.000000 0.000000 
41065.40 1963.11 100.079342 30.653419 9.740640 1.126171 1.319885 18.466723 0.000000 0.000000 
40770.90 1962.59 100.080181 30.668948 9.842792 1.062778 1.249009 18.514369 0.000000 0.000000 
40476.40 1962.08 100.081036 30.684862 9.946199 0.999142 1.175620 18.563901 0.000000 0.000000 
40181.90 1961.56 100.081904 30.701058 10.049804 0.936067 1.099902 18.615286 0.000000 0.000000 
39887.50 1961.04 100.082787 30.717612 10.154203 0.873136 1.021644 18.668628 0.000000 0.000000 
39593.00 1960.53 100.083687 30.734621 10.260141 0.809846 0.940525 18.724109 0.000000 0.000000 
39298.60 1960.01 100.084602 30.751969 10.366466 0.747055 0.856803 18.781646 0.000000 0.000000 
39004.20 1959.49 100.085534 30.769749 10.473882 0.684285 0.770176 18.841406 0.000000 0.000000 
38709.80 1958.97 100.086483 30.787985 10.582481 0.621503 0.680519 18.903482 0.000000 0.000000 
38415.40 1958.46 100.087452 30.806767 10.692937 0.558256 0.587522 18.968052 0.000000 0.000000 
38121.10 1957.94 100.088438 30.825983 10.804142 0.495372 0.491434 19.035036 0.000000 0.000000 
37826.80 1957.42 100.089443 30.845733 10.916823 0.432367 0.391899 19.104643 0.000000 0.000000 
37532.40 1956.90 100.090469 30.866054 11.031139 0.369175 0.288723 19.177016 0.000000 0.000000 
37238.10 1956.39 100.091517 30.887027 11.147696 0.305394 0.181611 19.252325 0.000000 0.000000 
36943.90 1955.87 100.092585 30.908547 11.265427 0.241822 0.070796 19.330502 0.000000 0.000000 
36649.60 1955.35 100.093348 30.925479 11.368664 0.186574 0.000000 19.370242 0.000000 0.000000 
36355.30 1954.83 100.093584 30.934128 11.445559 0.145699 0.000000 19.342869 0.000000 0.000000 
36061.10 1954.32 100.093824 30.942930 11.522860 0.105002 0.000000 19.315068 0.000000 0.000000 
35766.90 1953.80 100.094069 30.951809 11.599599 0.065200 0.000000 19.287010 0.000000 0.000000 
35472.70 1953.28 100.094317 30.960814 11.676326 0.025904 0.000000 19.258585 0.000000 0.000000 
35178.50 1952.76 100.094527 30.969229 11.740034 0.000000 0.000000 19.229195 0.000000 0.000000 
34884.30 1952.24 100.094657 30.976394 11.778265 0.000000 0.000000 19.198128 0.000000 0.000000 
34590.20 1951.73 100.094792 30.983801 11.817432 0.000000 0.000000 19.166369 0.000000 0.000000 
34296.10 1951.21 100.094934 30.991411 11.857281 0.000000 0.000000 19.134130 0.000000 0.000000 
34001.90 1950.69 100.095082 30.999253 11.897994 0.000000 0.000000 19.101259 0.000000 0.000000 
33707.80 1950.17 100.095235 31.007325 11.939560 0.000000 0.000000 19.067764 0.000000 0.000000 
33413.80 1949.65 100.095395 31.015628 11.982002 0.000000 0.000000 19.033627 0.000000 0.000000 
33119.70 1949.13 100.095560 31.024175 12.025377 0.000000 0.000000 18.998798 0.000000 0.000000 
32825.60 1948.62 100.095730 31.032991 12.069857 0.000000 0.000000 18.963134 0.000000 0.000000 
32531.60 1948.10 100.095907 31.042026 12.115126 0.000000 0.000000 18.926900 0.000000 0.000000 
