'Atmospheric species in mixing ratio (by mol, i.e. by volume for ideal gases), aqueous species in mol/(kg H2O), total C and N in mol'
'Time (Myr)' 	 CO2(g) 	 CH4(g) 	 O2(g) 	 N2(g) 	 H2O(g) 	 'P_surface (bar)' 	 'T_surface (K)' 	 'DeltaT GHE (K)' 	 'Ox C(aq)' 	 'Red C(aq)' 	 'Total N(aq)' 	 'Ocean pH' 	 'Ocean log f(O2) at Tsurf0' 	 'Rain pH' 	 'Total C g+aq' 	 'Total N g+aq' 	 'Mocean (kg)' 	 'Mriver (kg)' 	 'nAir (mol)'
Init 	 0.00028 	 1e-10 	 0.2 	 0.79 	 0.01 	 1 	 288 	 0 	 0.00283346 	 0 	 0.00052628 	 8.43461 	 -40.2288 	 0 	 4.02012e+18 	 3.01404e+20 	 1.4e+21 	 0 	 1.90296e+20
0 	 0.0154086 	 0 	 0.196003 	 0.774814 	 0.0137749 	 1.01882 	 288 	 32.8748 	 0.000737858 	 0 	 0.000608126 	 4.78633 	 -1.1895 	 0 	 4.02012e+18 	 3.01264e+20 	 1.39999e+21 	 0 	 1.93861e+20
0.01 	 0.0154086 	 0 	 0.196002 	 0.774814 	 0.0137749 	 1.01882 	 288 	 41.8623 	 0.000737856 	 0 	 0.000608126 	 4.78633 	 -1.1895 	 0 	 4.01987e+18 	 3.01239e+20 	 1.39999e+21 	 0 	 1.93845e+20
0.02 	 0.0154088 	 0 	 0.196002 	 0.774813 	 0.013776 	 1.01874 	 288 	 41.8623 	 0.00073781 	 0 	 0.000608077 	 4.78635 	 -1.18953 	 0 	 4.01961e+18 	 3.01214e+20 	 1.39999e+21 	 0 	 1.93829e+20
0.03 	 0.0154091 	 0 	 0.196002 	 0.774811 	 0.0137771 	 1.01866 	 288 	 41.862 	 0.000737764 	 0 	 0.000608025 	 4.78636 	 -1.18957 	 0 	 4.01935e+18 	 3.01188e+20 	 1.39999e+21 	 0 	 1.93813e+20
0.04 	 0.0154094 	 0 	 0.196002 	 0.77481 	 0.0137783 	 1.01857 	 288 	 41.8617 	 0.000737717 	 0 	 0.000607974 	 4.78638 	 -1.1896 	 0 	 4.01909e+18 	 3.01163e+20 	 1.39999e+21 	 0 	 1.93797e+20
0.05 	 0.0154097 	 0 	 0.196002 	 0.774809 	 0.0137794 	 1.01849 	 288 	 41.8614 	 0.00073767 	 0 	 0.000607923 	 4.78639 	 -1.18964 	 0 	 4.01883e+18 	 3.01138e+20 	 1.39998e+21 	 0 	 1.93781e+20
0.06 	 0.01541 	 0 	 0.196001 	 0.774808 	 0.0137805 	 1.0184 	 288 	 41.8611 	 0.000737623 	 0 	 0.000607871 	 4.7864 	 -1.18968 	 0 	 4.01858e+18 	 3.01113e+20 	 1.39999e+21 	 0 	 1.93765e+20
0.07 	 0.0154103 	 0 	 0.196001 	 0.774807 	 0.0137817 	 1.01832 	 288 	 41.8609 	 0.000737579 	 0 	 0.000607821 	 4.78642 	 -1.18971 	 0 	 4.01834e+18 	 3.01088e+20 	 1.39999e+21 	 0 	 1.93749e+20
0.08 	 0.0154106 	 0 	 0.196002 	 0.774805 	 0.0137828 	 1.01824 	 288 	 41.8606 	 0.000737533 	 0 	 0.00060777 	 4.78643 	 -1.18975 	 0 	 4.01808e+18 	 3.01062e+20 	 1.39998e+21 	 0 	 1.93733e+20
0.09 	 0.0154109 	 0 	 0.196001 	 0.774804 	 0.0137839 	 1.01815 	 288 	 41.8603 	 0.000737486 	 0 	 0.000607718 	 4.78644 	 -1.18979 	 0 	 4.01783e+18 	 3.01037e+20 	 1.39999e+21 	 0 	 1.93718e+20
0.1 	 0.0154112 	 0 	 0.196001 	 0.774803 	 0.0137851 	 1.01807 	 288 	 41.86 	 0.000737442 	 0 	 0.000607668 	 4.78646 	 -1.18982 	 0 	 4.01759e+18 	 3.01012e+20 	 1.39999e+21 	 0 	 1.93702e+20
0.11 	 0.0154115 	 0 	 0.196001 	 0.774801 	 0.0137862 	 1.01799 	 288 	 41.8598 	 0.000737396 	 0 	 0.000607618 	 4.78647 	 -1.18986 	 0 	 4.01733e+18 	 3.00987e+20 	 1.39999e+21 	 0 	 1.93686e+20
0.12 	 0.0154118 	 0 	 0.196001 	 0.7748 	 0.0137873 	 1.0179 	 288 	 41.8595 	 0.000737349 	 0 	 0.000607567 	 4.78649 	 -1.18989 	 0 	 4.01707e+18 	 3.00961e+20 	 1.39999e+21 	 0 	 1.9367e+20
0.13 	 0.0154121 	 0 	 0.196 	 0.774799 	 0.0137885 	 1.01782 	 288 	 41.8592 	 0.000737302 	 0 	 0.000607515 	 4.7865 	 -1.18993 	 0 	 4.01682e+18 	 3.00937e+20 	 1.39999e+21 	 0 	 1.93654e+20
0.14 	 0.0154123 	 0 	 0.196001 	 0.774798 	 0.0137896 	 1.01774 	 288 	 41.859 	 0.000737255 	 0 	 0.000607465 	 4.78651 	 -1.18996 	 0 	 4.01656e+18 	 3.00911e+20 	 1.39999e+21 	 0 	 1.93638e+20
0.15 	 0.0154126 	 0 	 0.196001 	 0.774796 	 0.0137907 	 1.01765 	 288 	 41.8587 	 0.000737208 	 0 	 0.000607414 	 4.78653 	 -1.19 	 0 	 4.0163e+18 	 3.00886e+20 	 1.39999e+21 	 0 	 1.93622e+20
0.16 	 0.0154129 	 0 	 0.196 	 0.774795 	 0.0137919 	 1.01757 	 288 	 41.8584 	 0.000737161 	 0 	 0.000607362 	 4.78654 	 -1.19004 	 0 	 4.01604e+18 	 3.00861e+20 	 1.39999e+21 	 0 	 1.93606e+20
0.17 	 0.0154131 	 0 	 0.196 	 0.774794 	 0.013793 	 1.01748 	 288 	 41.8581 	 0.000737114 	 0 	 0.000607312 	 4.78656 	 -1.19007 	 0 	 4.01578e+18 	 3.00835e+20 	 1.39999e+21 	 0 	 1.9359e+20
0.18 	 0.0154134 	 0 	 0.196 	 0.774793 	 0.0137941 	 1.0174 	 288 	 41.8578 	 0.000737067 	 0 	 0.00060726 	 4.78657 	 -1.19011 	 0 	 4.01553e+18 	 3.0081e+20 	 1.39999e+21 	 0 	 1.93574e+20
0.19 	 0.0154138 	 0 	 0.195999 	 0.774792 	 0.0137953 	 1.01732 	 288 	 41.8575 	 0.000737023 	 0 	 0.00060721 	 4.78658 	 -1.19014 	 0 	 4.01529e+18 	 3.00785e+20 	 1.39999e+21 	 0 	 1.93559e+20
0.2 	 0.015414 	 0 	 0.196 	 0.77479 	 0.0137964 	 1.01723 	 288 	 41.8573 	 0.000736977 	 0 	 0.00060716 	 4.7866 	 -1.19018 	 0 	 4.01503e+18 	 3.0076e+20 	 1.39999e+21 	 0 	 1.93543e+20
0.21 	 0.0154143 	 0 	 0.196 	 0.774789 	 0.0137975 	 1.01715 	 288 	 41.857 	 0.00073693 	 0 	 0.000607109 	 4.78661 	 -1.19022 	 0 	 4.01477e+18 	 3.00735e+20 	 1.39999e+21 	 0 	 1.93527e+20
0.22 	 0.0154146 	 0 	 0.195999 	 0.774788 	 0.0137987 	 1.01707 	 288 	 41.8567 	 0.000736883 	 0 	 0.000607057 	 4.78662 	 -1.19025 	 0 	 4.01452e+18 	 3.0071e+20 	 1.39999e+21 	 0 	 1.93511e+20
0.23 	 0.0154149 	 0 	 0.195999 	 0.774786 	 0.0137998 	 1.01698 	 288 	 41.8565 	 0.000736836 	 0 	 0.000607007 	 4.78664 	 -1.19029 	 0 	 4.01425e+18 	 3.00684e+20 	 1.39999e+21 	 0 	 1.93495e+20
0.24 	 0.0154151 	 0 	 0.195999 	 0.774785 	 0.013801 	 1.0169 	 288 	 41.8562 	 0.000736789 	 0 	 0.000606955 	 4.78665 	 -1.19033 	 0 	 4.014e+18 	 3.00659e+20 	 1.39999e+21 	 0 	 1.93479e+20
0.25 	 0.0154155 	 0 	 0.195998 	 0.774784 	 0.0138021 	 1.01682 	 288 	 41.8559 	 0.000736745 	 0 	 0.000606905 	 4.78667 	 -1.19036 	 0 	 4.01376e+18 	 3.00634e+20 	 1.39999e+21 	 0 	 1.93463e+20
0.26 	 0.0154158 	 0 	 0.195999 	 0.774783 	 0.0138032 	 1.01673 	 288 	 41.8556 	 0.000736699 	 0 	 0.000606854 	 4.78668 	 -1.1904 	 0 	 4.0135e+18 	 3.00609e+20 	 1.39998e+21 	 0 	 1.93447e+20
0.27 	 0.0154161 	 0 	 0.195998 	 0.774782 	 0.0138043 	 1.01665 	 288 	 41.8554 	 0.000736652 	 0 	 0.000606803 	 4.78669 	 -1.19043 	 0 	 4.01325e+18 	 3.00584e+20 	 1.39999e+21 	 0 	 1.93431e+20
0.28 	 0.0154164 	 0 	 0.195998 	 0.77478 	 0.0138055 	 1.01657 	 288 	 41.8551 	 0.000736609 	 0 	 0.000606753 	 4.78671 	 -1.19047 	 0 	 4.01301e+18 	 3.00559e+20 	 1.39999e+21 	 0 	 1.93416e+20
0.29 	 0.0154166 	 0 	 0.195998 	 0.774779 	 0.0138066 	 1.01648 	 288 	 41.8548 	 0.000736563 	 0 	 0.000606703 	 4.78672 	 -1.1905 	 0 	 4.01276e+18 	 3.00534e+20 	 1.39999e+21 	 0 	 1.934e+20
0.3 	 0.0154169 	 0 	 0.195998 	 0.774778 	 0.0138077 	 1.0164 	 288 	 41.8545 	 0.000736516 	 0 	 0.000606652 	 4.78673 	 -1.19054 	 0 	 4.0125e+18 	 3.00508e+20 	 1.39999e+21 	 0 	 1.93384e+20
0.31 	 0.0154172 	 0 	 0.195997 	 0.774777 	 0.0138089 	 1.01632 	 288 	 41.8543 	 0.000736469 	 0 	 0.000606601 	 4.78675 	 -1.19058 	 0 	 4.01224e+18 	 3.00484e+20 	 1.39999e+21 	 0 	 1.93368e+20
0.32 	 0.0154175 	 0 	 0.195997 	 0.774775 	 0.01381 	 1.01623 	 288 	 41.854 	 0.000736425 	 0 	 0.000606551 	 4.78676 	 -1.19061 	 0 	 4.012e+18 	 3.00459e+20 	 1.39999e+21 	 0 	 1.93353e+20
0.33 	 0.0154178 	 0 	 0.195997 	 0.774774 	 0.0138111 	 1.01615 	 288 	 41.8537 	 0.000736379 	 0 	 0.000606501 	 4.78677 	 -1.19065 	 0 	 4.01175e+18 	 3.00434e+20 	 1.39999e+21 	 0 	 1.93337e+20
0.34 	 0.0154181 	 0 	 0.195997 	 0.774773 	 0.0138122 	 1.01607 	 288 	 41.8534 	 0.000736332 	 0 	 0.00060645 	 4.78679 	 -1.19068 	 0 	 4.01149e+18 	 3.00408e+20 	 1.39999e+21 	 0 	 1.93321e+20
0.35 	 0.0154184 	 0 	 0.195997 	 0.774772 	 0.0138134 	 1.01598 	 288 	 41.8532 	 0.000736285 	 0 	 0.000606398 	 4.7868 	 -1.19072 	 0 	 4.01123e+18 	 3.00383e+20 	 1.39999e+21 	 0 	 1.93305e+20
0.36 	 0.0154187 	 0 	 0.195996 	 0.77477 	 0.0138145 	 1.0159 	 288 	 41.8529 	 0.000736241 	 0 	 0.000606349 	 4.78682 	 -1.19076 	 0 	 4.01099e+18 	 3.00358e+20 	 1.39999e+21 	 0 	 1.93289e+20
0.37 	 0.015419 	 0 	 0.195996 	 0.774769 	 0.0138156 	 1.01582 	 288 	 41.8526 	 0.000736195 	 0 	 0.000606298 	 4.78683 	 -1.19079 	 0 	 4.01073e+18 	 3.00333e+20 	 1.39999e+21 	 0 	 1.93273e+20
0.38 	 0.0154193 	 0 	 0.195996 	 0.774768 	 0.0138168 	 1.01573 	 288 	 41.8524 	 0.000736148 	 0 	 0.000606246 	 4.78684 	 -1.19083 	 0 	 4.01048e+18 	 3.00308e+20 	 1.39999e+21 	 0 	 1.93257e+20
0.39 	 0.0154196 	 0 	 0.195996 	 0.774767 	 0.0138179 	 1.01565 	 288 	 41.8521 	 0.000736105 	 0 	 0.000606196 	 4.78686 	 -1.19087 	 0 	 4.01024e+18 	 3.00283e+20 	 1.39999e+21 	 0 	 1.93242e+20
0.4 	 0.0154199 	 0 	 0.195996 	 0.774765 	 0.013819 	 1.01557 	 288 	 41.8518 	 0.000736059 	 0 	 0.000606146 	 4.78687 	 -1.1909 	 0 	 4.00998e+18 	 3.00257e+20 	 1.39998e+21 	 0 	 1.93225e+20
0.41 	 0.0154202 	 0 	 0.195995 	 0.774764 	 0.0138202 	 1.01548 	 288 	 41.8515 	 0.000736012 	 0 	 0.000606094 	 4.78688 	 -1.19094 	 0 	 4.00973e+18 	 3.00232e+20 	 1.39998e+21 	 0 	 1.9321e+20
0.42 	 0.0154204 	 0 	 0.195995 	 0.774763 	 0.0138213 	 1.0154 	 288 	 41.8513 	 0.000735965 	 0 	 0.000606043 	 4.7869 	 -1.19097 	 0 	 4.00947e+18 	 3.00207e+20 	 1.39998e+21 	 0 	 1.93194e+20
0.43 	 0.0154207 	 0 	 0.195995 	 0.774762 	 0.0138225 	 1.01531 	 288 	 41.851 	 0.000735918 	 0 	 0.000605992 	 4.78691 	 -1.19101 	 0 	 4.00921e+18 	 3.00182e+20 	 1.39998e+21 	 0 	 1.93178e+20
0.44 	 0.015421 	 0 	 0.195995 	 0.77476 	 0.0138236 	 1.01523 	 288 	 41.8507 	 0.000735871 	 0 	 0.000605941 	 4.78693 	 -1.19105 	 0 	 4.00895e+18 	 3.00156e+20 	 1.39998e+21 	 0 	 1.93161e+20
0.45 	 0.0154213 	 0 	 0.195994 	 0.77476 	 0.0138248 	 1.01515 	 288 	 41.8504 	 0.000735824 	 0 	 0.00060589 	 4.78694 	 -1.19108 	 0 	 4.00869e+18 	 3.00131e+20 	 1.39998e+21 	 0 	 1.93145e+20
0.46 	 0.0154216 	 0 	 0.195994 	 0.774758 	 0.0138259 	 1.01506 	 288 	 41.8501 	 0.000735776 	 0 	 0.000605839 	 4.78695 	 -1.19112 	 0 	 4.00844e+18 	 3.00106e+20 	 1.39998e+21 	 0 	 1.9313e+20
0.47 	 0.0154219 	 0 	 0.195994 	 0.774757 	 0.013827 	 1.01498 	 288 	 41.8499 	 0.000735733 	 0 	 0.000605789 	 4.78697 	 -1.19115 	 0 	 4.00819e+18 	 3.00081e+20 	 1.39998e+21 	 0 	 1.93114e+20
0.48 	 0.0154222 	 0 	 0.195994 	 0.774756 	 0.0138282 	 1.0149 	 288 	 41.8496 	 0.000735687 	 0 	 0.000605737 	 4.78698 	 -1.19119 	 0 	 4.00794e+18 	 3.00055e+20 	 1.39998e+21 	 0 	 1.93098e+20
0.49 	 0.0154225 	 0 	 0.195993 	 0.774755 	 0.0138293 	 1.01481 	 288 	 41.8493 	 0.00073564 	 0 	 0.000605686 	 4.787 	 -1.19123 	 0 	 4.00768e+18 	 3.0003e+20 	 1.39998e+21 	 0 	 1.93082e+20
0.5 	 0.0154228 	 0 	 0.195993 	 0.774753 	 0.0138305 	 1.01473 	 288 	 41.849 	 0.000735593 	 0 	 0.000605635 	 4.78701 	 -1.19127 	 0 	 4.00742e+18 	 3.00004e+20 	 1.39998e+21 	 0 	 1.93066e+20
0.51 	 0.015423 	 0 	 0.195993 	 0.774753 	 0.0138316 	 1.01464 	 288 	 41.8488 	 0.000735546 	 0 	 0.000605584 	 4.78702 	 -1.1913 	 0 	 4.00717e+18 	 2.99979e+20 	 1.39998e+21 	 0 	 1.9305e+20
0.52 	 0.0154233 	 0 	 0.195993 	 0.774751 	 0.0138328 	 1.01456 	 288 	 41.8485 	 0.000735499 	 0 	 0.000605533 	 4.78704 	 -1.19134 	 0 	 4.00691e+18 	 2.99955e+20 	 1.39998e+21 	 0 	 1.93034e+20
0.53 	 0.0154236 	 0 	 0.195993 	 0.77475 	 0.0138339 	 1.01448 	 288 	 41.8482 	 0.000735455 	 0 	 0.000605483 	 4.78705 	 -1.19137 	 0 	 4.00667e+18 	 2.9993e+20 	 1.39998e+21 	 0 	 1.93019e+20
0.54 	 0.0154239 	 0 	 0.195993 	 0.774749 	 0.013835 	 1.0144 	 288 	 41.8479 	 0.000735409 	 0 	 0.000605433 	 4.78706 	 -1.19141 	 0 	 4.00642e+18 	 2.99905e+20 	 1.39998e+21 	 0 	 1.93003e+20
0.55 	 0.0154242 	 0 	 0.195992 	 0.774747 	 0.0138361 	 1.01431 	 288 	 41.8477 	 0.000735365 	 0 	 0.000605384 	 4.78708 	 -1.19144 	 0 	 4.00618e+18 	 2.99881e+20 	 1.39998e+21 	 0 	 1.92988e+20
0.56 	 0.0154245 	 0 	 0.195992 	 0.774746 	 0.0138372 	 1.01423 	 288 	 41.8474 	 0.000735319 	 0 	 0.000605334 	 4.78709 	 -1.19148 	 0 	 4.00593e+18 	 2.99856e+20 	 1.39998e+21 	 0 	 1.92972e+20
0.57 	 0.0154248 	 0 	 0.195992 	 0.774745 	 0.0138383 	 1.01415 	 288 	 41.8471 	 0.000735276 	 0 	 0.000605285 	 4.7871 	 -1.19152 	 0 	 4.00569e+18 	 2.99832e+20 	 1.39998e+21 	 0 	 1.92957e+20
0.58 	 0.015425 	 0 	 0.195991 	 0.774744 	 0.0138394 	 1.01407 	 288 	 41.8469 	 0.00073523 	 0 	 0.000605235 	 4.78712 	 -1.19155 	 0 	 4.00543e+18 	 2.99806e+20 	 1.39998e+21 	 0 	 1.92941e+20
0.59 	 0.0154253 	 0 	 0.195991 	 0.774743 	 0.0138406 	 1.01399 	 288 	 41.8466 	 0.000735183 	 0 	 0.000605184 	 4.78713 	 -1.19159 	 0 	 4.00517e+18 	 2.99781e+20 	 1.39998e+21 	 0 	 1.92925e+20
0.6 	 0.0154256 	 0 	 0.195991 	 0.774742 	 0.0138417 	 1.0139 	 288 	 41.8463 	 0.000735136 	 0 	 0.000605133 	 4.78715 	 -1.19162 	 0 	 4.00492e+18 	 2.99757e+20 	 1.39998e+21 	 0 	 1.92909e+20
0.61 	 0.0154259 	 0 	 0.195991 	 0.77474 	 0.0138428 	 1.01382 	 288 	 41.846 	 0.000735092 	 0 	 0.000702214 	 13.3823 	 -1.13923 	 3.72887 	 4.00468e+18 	 2.99868e+20 	 1.39998e+21 	 1.06289e+24 	 1.92894e+20
0.62 	 0.780184 	 0 	 0.0437399 	 0.173016 	 0.00305981 	 4.54451 	 288 	 41.8458 	 0.156359 	 0 	 0.000700114 	 12.7585 	 -1.15147 	 3.47065 	 8.93489e+20 	 3.00178e+20 	 1.39998e+21 	 1.06289e+24 	 8.64655e+20
0.63 	 0.866649 	 0 	 0.0265122 	 0.104987 	 0.00185141 	 7.49685 	 288 	 65.4005 	 0.286541 	 0 	 0.000699871 	 12.7569 	 -1.15187 	 3.42025 	 1.63732e+21 	 3.00483e+20 	 1.39997e+21 	 1.06289e+24 	 1.42638e+21
0.64 	 0.896308 	 0 	 0.0205983 	 0.0816578 	 0.0014363 	 9.64841 	 288 	 68.0309 	 0.381486 	 0 	 0.000699642 	 12.7553 	 -1.15227 	 3.38248 	 2.17946e+21 	 3.00784e+20 	 1.39997e+21 	 1.06289e+24 	 1.83574e+21
0.65 	 0.910649 	 0 	 0.0177345 	 0.0703809 	 0.00123533 	 11.2055 	 288 	 69.2728 	 0.450281 	 0 	 0.000699432 	 12.7537 	 -1.15267 	 3.35513 	 2.57188e+21 	 3.01083e+20 	 1.39997e+21 	 1.06289e+24 	 2.132e+21
0.66 	 0.918677 	 0 	 0.0161277 	 0.064073 	 0.00112261 	 12.3208 	 288 	 69.9915 	 0.499635 	 0 	 0.000699233 	 12.7522 	 -1.15305 	 3.33635 	 2.85304e+21 	 3.0138e+20 	 1.39997e+21 	 1.06289e+24 	 2.3442e+21
0.67 	 0.923505 	 0 	 0.0151576 	 0.0602833 	 0.00105461 	 13.1082 	 288 	 70.4417 	 0.534551 	 0 	 0.000698641 	 12.7499 	 -1.15367 	 3.32366 	 3.05159e+21 	 3.01673e+20 	 1.39997e+21 	 1.06289e+24 	 2.49401e+21
0.68 	 0.926404 	 0 	 0.014571 	 0.0580112 	 0.00101356 	 13.6347 	 288 	 70.7335 	 0.558076 	 0 	 0.000698682 	 12.4807 	 -1.15498 	 3.31547 	 3.18455e+21 	 3.01961e+20 	 1.39997e+21 	 1.06289e+24 	 2.59418e+21
0.69 	 0.928255 	 0 	 0.0141929 	 0.0565649 	 0.000986886 	 13.9966 	 288 	 70.9181 	 0.574252 	 0 	 0.000698821 	 12.4275 	 -1.15564 	 3.30999 	 3.27592e+21 	 3.02248e+20 	 1.39997e+21 	 1.06289e+24 	 2.66305e+21
0.7 	 0.929295 	 0 	 0.0139759 	 0.0557573 	 0.000971697 	 14.2128 	 288 	 71.0405 	 0.584008 	 0 	 0.000698403 	 11.4775 	 -1.15429 	 3.30676 	 3.33057e+21 	 3.02533e+20 	 1.39997e+21 	 1.06289e+24 	 2.70417e+21
0.71 	 0.930225 	 0 	 0.0137808 	 0.0550354 	 0.000958293 	 14.4126 	 288 	 71.112 	 0.592975 	 0 	 0.000698371 	 11.4497 	 -1.15454 	 3.30382 	 3.38102e+21 	 3.02815e+20 	 1.39997e+21 	 1.06289e+24 	 2.74221e+21
0.72 	 0.93065 	 0 	 0.0136861 	 0.0547126 	 0.000951777 	 14.5112 	 288 	 71.177 	 0.597506 	 0 	 0.000698329 	 11.4484 	 -1.15485 	 3.30239 	 3.40597e+21 	 3.03095e+20 	 1.39997e+21 	 1.06289e+24 	 2.76095e+21
0.73 	 0.93058 	 0 	 0.0136889 	 0.0547793 	 0.00095211 	 14.5068 	 288 	 71.2085 	 0.597488 	 0 	 0.000698244 	 11.4472 	 -1.15517 	 3.30246 	 3.40498e+21 	 3.03372e+20 	 1.39997e+21 	 1.06289e+24 	 2.76012e+21
0.74 	 0.93019 	 0 	 0.013755 	 0.0550984 	 0.000956886 	 14.4359 	 288 	 71.2069 	 0.594521 	 0 	 0.000698142 	 11.446 	 -1.1555 	 3.30351 	 3.3872e+21 	 3.03648e+20 	 1.39997e+21 	 1.06289e+24 	 2.74663e+21
0.75 	 0.929591 	 0 	 0.0138622 	 0.0555827 	 0.000964556 	 14.3231 	 288 	 71.1838 	 0.589692 	 0 	 0.000698033 	 11.4448 	 -1.15583 	 3.30518 	 3.35883e+21 	 3.0392e+20 	 1.39997e+21 	 1.06289e+24 	 2.72515e+21
0.76 	 0.928949 	 0 	 0.0139776 	 0.0561003 	 0.000972806 	 14.2036 	 288 	 71.1469 	 0.584563 	 0 	 0.000697922 	 11.4436 	 -1.15615 	 3.30697 	 3.32878e+21 	 3.04191e+20 	 1.39997e+21 	 1.06289e+24 	 2.70242e+21
0.77 	 0.928175 	 0 	 0.014119 	 0.0567228 	 0.000982884 	 14.0601 	 288 	 71.1075 	 0.578367 	 0 	 0.00069781 	 11.4424 	 -1.15647 	 3.30912 	 3.29269e+21 	 3.0446e+20 	 1.39997e+21 	 1.06289e+24 	 2.67514e+21
0.78 	 0.927316 	 0 	 0.0142771 	 0.0574131 	 0.000994135 	 13.9033 	 288 	 71.0598 	 0.571571 	 0 	 0.0006977 	 11.4413 	 -1.15678 	 3.31149 	 3.2532e+21 	 3.04725e+20 	 1.39997e+21 	 1.06289e+24 	 2.64529e+21
0.79 	 0.926402 	 0 	 0.0144457 	 0.0581465 	 0.00100613 	 13.7398 	 288 	 71.0071 	 0.564474 	 0 	 0.000697578 	 11.4401 	 -1.1571 	 3.31399 	 3.21204e+21 	 3.04989e+20 	 1.39997e+21 	 1.06289e+24 	 2.61419e+21
0.8 	 0.925502 	 0 	 0.0146113 	 0.0588691 	 0.00101793 	 13.5829 	 288 	 70.9514 	 0.557661 	 0 	 0.000697504 	 11.439 	 -1.15739 	 3.3164 	 3.17251e+21 	 3.05251e+20 	 1.39997e+21 	 1.06289e+24 	 2.58433e+21
0.81 	 0.924606 	 0 	 0.0147759 	 0.0595881 	 0.00102965 	 13.4304 	 288 	 70.8973 	 0.55103 	 0 	 0.000697407 	 11.4378 	 -1.1577 	 3.31877 	 3.13409e+21 	 3.0551e+20 	 1.39997e+21 	 1.06289e+24 	 2.55532e+21
0.82 	 0.923726 	 0 	 0.0149375 	 0.0602958 	 0.00104116 	 13.284 	 288 	 70.8441 	 0.544668 	 0 	 0.000697317 	 11.4367 	 -1.15801 	 3.32106 	 3.09721e+21 	 3.05768e+20 	 1.39997e+21 	 1.06289e+24 	 2.52747e+21
0.83 	 0.922858 	 0 	 0.0150964 	 0.0609934 	 0.00105248 	 13.1431 	 288 	 70.7924 	 0.538544 	 0 	 0.000697237 	 11.4356 	 -1.1583 	 3.32329 	 3.06169e+21 	 3.06023e+20 	 1.39997e+21 	 1.06289e+24 	 2.50065e+21
0.84 	 0.921998 	 0 	 0.0152535 	 0.0616849 	 0.00106368 	 13.0066 	 288 	 70.742 	 0.532609 	 0 	 0.000697161 	 11.4345 	 -1.15859 	 3.32546 	 3.02728e+21 	 3.06275e+20 	 1.39997e+21 	 1.06289e+24 	 2.47467e+21
0.85 	 0.92114 	 0 	 0.0154102 	 0.062375 	 0.00107485 	 12.8732 	 288 	 70.6926 	 0.526808 	 0 	 0.000697085 	 11.4334 	 -1.15888 	 3.3276 	 2.99367e+21 	 3.06527e+20 	 1.39997e+21 	 1.06289e+24 	 2.4493e+21
0.86 	 0.920286 	 0 	 0.0155659 	 0.0630618 	 0.00108595 	 12.7434 	 288 	 70.6438 	 0.521161 	 0 	 0.000697023 	 11.4323 	 -1.15916 	 3.32969 	 2.96094e+21 	 3.06775e+20 	 1.39997e+21 	 1.06289e+24 	 2.4246e+21
0.87 	 0.919417 	 0 	 0.0157246 	 0.0637614 	 0.00109727 	 12.6137 	 288 	 70.5957 	 0.515514 	 0 	 0.00069698 	 11.4832 	 -1.1596 	 3.33179 	 2.92825e+21 	 3.07023e+20 	 1.39997e+21 	 1.06289e+24 	 2.39994e+21
0.88 	 0.918518 	 0 	 0.0158888 	 0.0644843 	 0.00110895 	 12.4823 	 288 	 70.5472 	 0.509784 	 0 	 0.000696991 	 11.6071 	 -1.16034 	 3.33394 	 2.89511e+21 	 3.07268e+20 	 1.39997e+21 	 1.06289e+24 	 2.37494e+21
0.89 	 0.917533 	 0 	 0.0160695 	 0.0652753 	 0.00112175 	 12.3409 	 288 	 70.4975 	 0.503602 	 0 	 0.000697015 	 11.7893 	 -1.16116 	 3.33627 	 2.85942e+21 	 3.07512e+20 	 1.39997e+21 	 1.06289e+24 	 2.34802e+21
0.9 	 0.916459 	 0 	 0.0162676 	 0.0661379 	 0.00113577 	 12.1895 	 288 	 70.4433 	 0.496975 	 0 	 0.000697061 	 12.197 	 -1.16162 	 3.33878 	 2.82123e+21 	 3.07753e+20 	 1.39997e+21 	 1.06289e+24 	 2.31922e+21
0.91 	 0.915295 	 0 	 0.0164828 	 0.067071 	 0.00115107 	 12.0293 	 288 	 70.3846 	 0.489964 	 0 	 0.000697097 	 12.3975 	 -1.16199 	 3.34145 	 2.78082e+21 	 3.07994e+20 	 1.39997e+21 	 1.06289e+24 	 2.28875e+21
0.92 	 0.914087 	 0 	 0.0167064 	 0.0680398 	 0.00116699 	 11.8673 	 288 	 70.3217 	 0.482875 	 0 	 0.000696716 	 12.3985 	 -1.16239 	 3.34417 	 2.73994e+21 	 3.08232e+20 	 1.39997e+21 	 1.06289e+24 	 2.25792e+21
0.93 	 0.91285 	 0 	 0.0169354 	 0.0690313 	 0.00118331 	 11.7058 	 288 	 70.257 	 0.475852 	 0 	 0.000696673 	 12.3974 	 -1.16257 	 3.3469 	 2.69927e+21 	 3.08467e+20 	 1.39997e+21 	 1.06289e+24 	 2.22719e+21
0.94 	 0.911684 	 0 	 0.0171505 	 0.069967 	 0.00119862 	 11.558 	 288 	 70.1916 	 0.469357 	 0 	 0.000696618 	 12.3963 	 -1.16282 	 3.34942 	 2.66195e+21 	 3.08701e+20 	 1.39997e+21 	 1.06289e+24 	 2.19908e+21
