Time (Gyr) 	 Tmantle (K) 	 Ra 	 Visc (Pa s) 	 Heat flux (mW m-2) 	 Lithospheric thickness (km) 	 Frank-Kamenetskii parameter 	 Outgassing flux (mol C s-1) 	 Convective velocity (m yr-1) 	 Convective timescale (s) 	 Crustal thickness (m) 	 Crust generation timescale (s) 	 Stagnant lid?
4.401 	 1338.6 	 6.5234e+07 	 9.13339e+20 	 53.8195 	 81.7961 	 27.355 	 282391 	 0.0200244 	 4.34136e+15 	 3.51908e+06 	 4.51044e+17 	 0
4.411 	 1338.36 	 6.49199e+07 	 9.1744e+20 	 53.7144 	 81.9278 	 27.3556 	 279878 	 0.0199762 	 4.35184e+15 	 3.52153e+06 	 4.54513e+17 	 0
4.421 	 1338.11 	 6.46261e+07 	 9.21291e+20 	 53.6147 	 82.0517 	 27.3561 	 277550 	 0.0199309 	 4.36172e+15 	 3.52396e+06 	 4.57744e+17 	 0
4.431 	 1337.87 	 6.43406e+07 	 9.25058e+20 	 53.5171 	 82.1729 	 27.3565 	 275288 	 0.0198868 	 4.37139e+15 	 3.52637e+06 	 4.60924e+17 	 0
4.441 	 1337.63 	 6.4059e+07 	 9.28803e+20 	 53.4203 	 82.2932 	 27.357 	 273107 	 0.0198433 	 4.38099e+15 	 3.52877e+06 	 4.64022e+17 	 0
4.451 	 1337.38 	 6.3565e+07 	 9.35681e+20 	 53.2643 	 82.5058 	 27.3574 	 270455 	 0.0197666 	 4.39798e+15 	 3.53115e+06 	 4.67986e+17 	 0
4.461 	 1337.14 	 6.32123e+07 	 9.40575e+20 	 53.1472 	 82.6589 	 27.3578 	 267740 	 0.0197117 	 4.41023e+15 	 3.53352e+06 	 4.72138e+17 	 0
4.471 	 1336.91 	 6.29116e+07 	 9.44745e+20 	 53.0445 	 82.7904 	 27.3582 	 265397 	 0.0196648 	 4.42076e+15 	 3.53586e+06 	 4.75714e+17 	 0
4.481 	 1336.67 	 6.26305e+07 	 9.48657e+20 	 52.9471 	 82.9141 	 27.3585 	 263269 	 0.0196208 	 4.43067e+15 	 3.53819e+06 	 4.78971e+17 	 0
4.491 	 1336.43 	 6.23573e+07 	 9.52483e+20 	 52.8517 	 83.035 	 27.3589 	 261160 	 0.0195779 	 4.44036e+15 	 3.54051e+06 	 4.82245e+17 	 0
4.501 	 1336.19 	 6.18788e+07 	 9.59501e+20 	 52.698 	 83.2485 	 27.3592 	 258691 	 0.0195027 	 4.4575e+15 	 3.54281e+06 	 4.86255e+17 	 0
4.511 	 1335.95 	 6.15384e+07 	 9.64474e+20 	 52.583 	 83.4017 	 27.3594 	 256125 	 0.019449 	 4.46981e+15 	 3.54509e+06 	 4.90524e+17 	 0
4.521 	 1335.72 	 6.12488e+07 	 9.68701e+20 	 52.4823 	 83.533 	 27.3597 	 253954 	 0.0194031 	 4.48036e+15 	 3.54736e+06 	 4.9412e+17 	 0
4.531 	 1335.48 	 6.09783e+07 	 9.72661e+20 	 52.3869 	 83.6563 	 27.3599 	 251947 	 0.0193602 	 4.49029e+15 	 3.54961e+06 	 4.97458e+17 	 0
4.541 	 1335.25 	 6.07156e+07 	 9.76533e+20 	 52.2935 	 83.7768 	 27.3601 	 249997 	 0.0193185 	 4.5e+15 	 3.55185e+06 	 5.00738e+17 	 0
4.551 	 1335.01 	 6.04564e+07 	 9.8038e+20 	 52.2009 	 83.8963 	 27.3603 	 248080 	 0.0192772 	 4.50963e+15 	 3.55407e+06 	 5.04008e+17 	 0
4.561 	 1334.78 	 5.99964e+07 	 9.87539e+20 	 52.0502 	 84.1102 	 27.3604 	 245771 	 0.0192037 	 4.52689e+15 	 3.55628e+06 	 5.08139e+17 	 0
4.571 	 1334.55 	 5.96699e+07 	 9.926e+20 	 51.9377 	 84.2633 	 27.3605 	 244478 	 0.0191514 	 4.53925e+15 	 3.55848e+06 	 5.10285e+17 	 0
