'Atmospheric species in mixing ratio (by mol, i.e. by volume for ideal gases), aqueous species in mol/(kg H2O), total C and N in mol'
'Time (Myr)' 	 CO2(g) 	 CH4(g) 	 O2(g) 	 N2(g) 	 H2O(g) 	 'P_surface (bar)' 	 'T_surface (K)' 	 'DeltaT GHE (K)' 	 'Ox C(aq)' 	 'Red C(aq)' 	 'Total N(aq)' 	 'Ocean pH' 	 'Ocean log f(O2) at Tsurf0' 	 'Rain pH' 	 'Total C g+aq' 	 'Total N g+aq' 	 'Mocean (kg)' 	 'nAir (mol)'
Init 	 0.5 	 0 	 0 	 0.5 	 0 	 1 	 300 	 0 	 3.0442 	 0 	 0.0168142 	 8.43928 	 -30.137 	 0 	 4.33014e+21 	 1.60065e+20 	 1.4e+21 	 1.36525e+20
0 	 0.145601 	 0.844327 	 0 	 0.00725336 	 0.00281958 	 29.7588 	 319.245 	 64.3402 	 0.19954 	 0.0254198 	 0.0737121 	 6.19023 	 -29.2662 	 0 	 4.33015e+21 	 1.60053e+20 	 1.37183e+21 	 4.06247e+21
0.001 	 0.162558 	 0.816444 	 0 	 0.0126792 	 0.0083189 	 30.678 	 342.833 	 87.9288 	 0.146238 	 0.0213482 	 0.0392233 	 6.15023 	 -29.7577 	 0 	 4.32978e+21 	 1.60048e+20 	 1.3731e+21 	 4.1876e+21
0.002 	 0.152642 	 0.813332 	 0 	 0.0154454 	 0.0185801 	 31.4592 	 363.227 	 108.322 	 0.111185 	 0.0208148 	 0.0199579 	 6.19433 	 -30.1547 	 0 	 4.32925e+21 	 1.60039e+20 	 1.37222e+21 	 4.29423e+21
0.003 	 0.142642 	 0.806168 	 0 	 0.0165244 	 0.034666 	 32.2132 	 381.259 	 126.355 	 0.0924295 	 0.0215377 	 0.0107293 	 6.26615 	 -30.4631 	 0 	 4.32831e+21 	 1.60029e+20 	 1.37082e+21 	 4.39717e+21
0.004 	 0.133028 	 0.793199 	 0 	 0.0167555 	 0.057017 	 33.0844 	 397.5 	 142.596 	 0.0817152 	 0.0230256 	 0.0063402 	 6.35474 	 -30.7107 	 0 	 4.32628e+21 	 1.60017e+20 	 1.36888e+21 	 4.51607e+21
0.005 	 0.123559 	 0.774819 	 0 	 0.0165514 	 0.0850708 	 34.1269 	 412.153 	 157.248 	 0.0750897 	 0.0250558 	 0.00424378 	 6.45185 	 -30.9128 	 0 	 4.32183e+21 	 1.60004e+20 	 1.36641e+21 	 4.65838e+21
0.006 	 0.113646 	 0.752919 	 0 	 0.0161273 	 0.117307 	 35.3267 	 425.267 	 170.362 	 0.0704697 	 0.0274821 	 0.00326663 	 6.552 	 -31.0803 	 0 	 4.31226e+21 	 1.5999e+20 	 1.36344e+21 	 4.82214e+21
0.007 	 0.102617 	 0.730131 	 0 	 0.0156184 	 0.151634 	 36.6098 	 436.825 	 181.92 	 0.066571 	 0.0301659 	 0.00285096 	 6.65262 	 -31.2219 	 0 	 4.29306e+21 	 1.59977e+20 	 1.36011e+21 	 4.9973e+21
0.008 	 0.0897524 	 0.709245 	 0 	 0.0151236 	 0.185879 	 37.8511 	 446.774 	 191.87 	 0.0624295 	 0.0329474 	 0.0027164 	 6.75769 	 -31.3458 	 0 	 4.25761e+21 	 1.59964e+20 	 1.35664e+21 	 5.16674e+21
0.009 	 0.0742703 	 0.69288 	 0 	 0.0147153 	 0.218134 	 38.8893 	 455.033 	 200.128 	 0.0572445 	 0.0356363 	 0.00274922 	 6.87385 	 -31.4608 	 0 	 4.1981e+21 	 1.59952e+20 	 1.3533e+21 	 5.30848e+21
0.01 	 0.0556485 	 0.683256 	 0 	 0.0144475 	 0.246648 	 39.5515 	 461.456 	 206.551 	 0.0503944 	 0.037996 	 0.00291667 	 7.01458 	 -31.5789 	 0 	 4.10859e+21 	 1.59938e+20 	 1.35046e+21 	 5.39883e+21
0.011 	 0.0343319 	 0.682116 	 0 	 0.0143538 	 0.269198 	 39.6846 	 465.759 	 210.854 	 0.0416307 	 0.0397211 	 0.0032746 	 7.20872 	 -31.7212 	 0 	 3.9907e+21 	 1.59925e+20 	 1.34855e+21 	 5.41699e+21
0.012 	 0.012939 	 0.690997 	 0 	 0.0144221 	 0.281642 	 39.176 	 467.32 	 212.416 	 0.0310821 	 0.040379 	 0.00420149 	 7.54264 	 -31.9493 	 0 	 3.86069e+21 	 1.59911e+20 	 1.34819e+21 	 5.34757e+21
0.013 	 0.000109698 	 0.712883 	 0 	 0.013093 	 0.273914 	 37.8365 	 464.342 	 209.438 	 0.0144171 	 0.0391036 	 0.0182577 	 8.7658 	 -32.966 	 0 	 3.7547e+21 	 1.59898e+20 	 1.35033e+21 	 5.16475e+21
0.014 	 7.55602e-05 	 0.818304 	 0 	 0.0152092 	 0.166411 	 32.8581 	 436.253 	 181.349 	 0.0154884 	 0.030337 	 0.0172045 	 8.80405 	 -32.8066 	 0 	 3.73306e+21 	 1.59887e+20 	 1.36326e+21 	 4.48519e+21
0.015 	 0.000973102 	 0.882123 	 0 	 0.0182176 	 0.0986861 	 30.3813 	 413.339 	 158.434 	 0.0228827 	 0.0256988 	 0.0064032 	 8.12472 	 -32.007 	 0 	 3.72886e+21 	 1.59875e+20 	 1.37031e+21 	 4.1471e+21
0.016 	 0.00283238 	 0.8992 	 0 	 0.0189377 	 0.0790299 	 29.686 	 404.795 	 149.891 	 0.0273823 	 0.0243847 	 0.00465087 	 7.7781 	 -31.6709 	 0 	 3.72627e+21 	 1.59863e+20 	 1.37259e+21 	 4.0522e+21
0.017 	 0.0046097 	 0.903748 	 0 	 0.0191645 	 0.072478 	 29.4395 	 401.602 	 146.697 	 0.0297659 	 0.0239143 	 0.0042391 	 7.6077 	 -31.5241 	 0 	 3.72402e+21 	 1.5985e+20 	 1.3737e+21 	 4.01855e+21
0.018 	 0.006162 	 0.903699 	 0 	 0.0192417 	 0.0708969 	 29.3586 	 400.778 	 145.874 	 0.0312273 	 0.0237527 	 0.00408523 	 7.50682 	 -31.45 	 0 	 3.72183e+21 	 1.59837e+20 	 1.37437e+21 	 4.0075e+21
0.019 	 0.00750178 	 0.901293 	 0 	 0.0192519 	 0.0719529 	 29.364 	 401.277 	 146.373 	 0.0321801 	 0.023752 	 0.00399433 	 7.44187 	 -31.4133 	 0 	 3.71956e+21 	 1.59824e+20 	 1.3748e+21 	 4.00824e+21
0.02 	 0.0086547 	 0.897445 	 0 	 0.0192245 	 0.0746756 	 29.4233 	 402.587 	 147.682 	 0.0328108 	 0.0238532 	 0.00391785 	 7.39855 	 -31.3988 	 0 	 3.71711e+21 	 1.59811e+20 	 1.3751e+21 	 4.01632e+21
0.021 	 0.00964084 	 0.892629 	 0 	 0.0191725 	 0.078558 	 29.5195 	 404.408 	 149.503 	 0.0332222 	 0.0240262 	 0.00384503 	 7.3696 	 -31.3981 	 0 	 3.71439e+21 	 1.59798e+20 	 1.37529e+21 	 4.02945e+21
0.022 	 0.0104731 	 0.887138 	 0 	 0.0191032 	 0.0832852 	 29.6421 	 406.545 	 151.64 	 0.0334766 	 0.0242527 	 0.003776 	 7.35088 	 -31.4065 	 0 	 3.71131e+21 	 1.59784e+20 	 1.37541e+21 	 4.04619e+21
0.023 	 0.0111587 	 0.881189 	 0 	 0.0190214 	 0.0886313 	 29.7836 	 408.862 	 153.957 	 0.0336136 	 0.0245192 	 0.00371339 	 7.33984 	 -31.4209 	 0 	 3.70781e+21 	 1.59771e+20 	 1.37548e+21 	 4.06552e+21
0.024 	 0.0117007 	 0.874959 	 0 	 0.018931 	 0.0944092 	 29.9376 	 411.258 	 156.353 	 0.0336588 	 0.0248143 	 0.00365981 	 7.33486 	 -31.4392 	 0 	 3.70381e+21 	 1.59759e+20 	 1.37551e+21 	 4.08655e+21
0.025 	 0.0120996 	 0.868618 	 0 	 0.0188357 	 0.100447 	 30.098 	 413.653 	 158.748 	 0.0336288 	 0.0251272 	 0.00361703 	 7.33482 	 -31.46 	 0 	 3.69917e+21 	 1.59745e+20 	 1.37552e+21 	 4.10841e+21
0.026 	 0.0123557 	 0.86232 	 0 	 0.0187391 	 0.106585 	 30.2589 	 415.984 	 161.079 	 0.0335342 	 0.0254471 	 0.00358601 	 7.33895 	 -31.4822 	 0 	 3.69387e+21 	 1.59732e+20 	 1.37552e+21 	 4.13038e+21
0.027 	 0.0124703 	 0.85622 	 0 	 0.0186447 	 0.112665 	 30.4145 	 418.198 	 163.294 	 0.0333825 	 0.0257638 	 0.00356704 	 7.34664 	 -31.5052 	 0 	 3.68786e+21 	 1.59719e+20 	 1.37553e+21 	 4.15165e+21
0.028 	 0.0124482 	 0.850465 	 0 	 0.018556 	 0.11853 	 30.5594 	 420.251 	 165.347 	 0.0331797 	 0.026067 	 0.00355986 	 7.35742 	 -31.5284 	 0 	 3.68107e+21 	 1.59707e+20 	 1.37555e+21 	 4.17142e+21
0.029 	 0.0122985 	 0.845189 	 0 	 0.0184764 	 0.124036 	 30.6874 	 422.106 	 167.202 	 0.0329318 	 0.0263465 	 0.00356378 	 7.37083 	 -31.5513 	 0 	 3.67345e+21 	 1.59693e+20 	 1.37562e+21 	 4.18888e+21
0.03 	 0.0120353 	 0.840509 	 0 	 0.0184088 	 0.129047 	 30.7937 	 423.733 	 168.829 	 0.0326481 	 0.0265927 	 0.00357801 	 7.38639 	 -31.5735 	 0 	 3.66508e+21 	 1.59681e+20 	 1.37573e+21 	 4.20339e+21
0.031 	 0.0116788 	 0.836526 	 0 	 0.0183556 	 0.13344 	 30.8738 	 425.108 	 170.204 	 0.0323386 	 0.0267976 	 0.00360123 	 7.40358 	 -31.5947 	 0 	 3.65599e+21 	 1.59668e+20 	 1.3759e+21 	 4.21434e+21
0.032 	 0.0112553 	 0.833302 	 0 	 0.0183189 	 0.137124 	 30.9248 	 426.217 	 171.312 	 0.032011 	 0.0269548 	 0.00363113 	 7.42184 	 -31.6144 	 0 	 3.64625e+21 	 1.59655e+20 	 1.37614e+21 	 4.22127e+21
0.033 	 0.0107945 	 0.830877 	 0 	 0.0183 	 0.140029 	 30.9443 	 427.051 	 172.146 	 0.0316793 	 0.0270592 	 0.00366551 	 7.44046 	 -31.6322 	 0 	 3.63604e+21 	 1.59642e+20 	 1.37646e+21 	 4.22396e+21
0.034 	 0.010327 	 0.829242 	 0 	 0.0182993 	 0.142132 	 30.9326 	 427.615 	 172.711 	 0.0313583 	 0.0271099 	 0.00370191 	 7.45864 	 -31.6477 	 0 	 3.62547e+21 	 1.5963e+20 	 1.37685e+21 	 4.22237e+21
0.035 	 0.00988177 	 0.82835 	 0 	 0.0183163 	 0.143451 	 30.8912 	 427.923 	 173.019 	 0.031063 	 0.0271084 	 0.0037376 	 7.47555 	 -31.6604 	 0 	 3.61471e+21 	 1.59617e+20 	 1.37733e+21 	 4.21672e+21
0.036 	 0.00948298 	 0.82812 	 0 	 0.0183496 	 0.144047 	 30.8234 	 428 	 173.095 	 0.0308065 	 0.0270592 	 0.00376993 	 7.49044 	 -31.6702 	 0 	 3.60389e+21 	 1.59604e+20 	 1.37787e+21 	 4.20743e+21
0.037 	 0.00914833 	 0.82844 	 0 	 0.0183971 	 0.144015 	 30.7333 	 427.879 	 172.975 	 0.0305987 	 0.026969 	 0.00379662 	 7.50267 	 -31.6767 	 0 	 3.59317e+21 	 1.59591e+20 	 1.37847e+21 	 4.19515e+21
0.038 	 0.0088879 	 0.829167 	 0 	 0.0184559 	 0.143489 	 30.6271 	 427.604 	 172.699 	 0.0304448 	 0.0268474 	 0.0038162 	 7.51186 	 -31.6801 	 0 	 3.58263e+21 	 1.59578e+20 	 1.37912e+21 	 4.18066e+21
0.039 	 0.00870447 	 0.830167 	 0 	 0.0185229 	 0.142606 	 30.51 	 427.218 	 172.314 	 0.0303455 	 0.0267037 	 0.00382799 	 7.5179 	 -31.6805 	 0 	 3.57233e+21 	 1.59565e+20 	 1.3798e+21 	 4.16466e+21
0.04 	 0.00859441 	 0.831294 	 0 	 0.0185948 	 0.141517 	 30.3878 	 426.768 	 171.863 	 0.0302967 	 0.0265478 	 0.0038323 	 7.52097 	 -31.6785 	 0 	 3.56233e+21 	 1.59553e+20 	 1.3805e+21 	 4.14799e+21
0.041 	 0.00854982 	 0.83243 	 0 	 0.0186686 	 0.140352 	 30.2652 	 426.295 	 171.39 	 0.0302911 	 0.0263883 	 0.00383012 	 7.52143 	 -31.6746 	 0 	 3.55259e+21 	 1.5954e+20 	 1.38121e+21 	 4.13126e+21
0.042 	 0.00855989 	 0.83348 	 0 	 0.0187418 	 0.139218 	 30.146 	 425.833 	 170.928 	 0.0303197 	 0.026232 	 0.00382288 	 7.51982 	 -31.6694 	 0 	 3.54311e+21 	 1.59527e+20 	 1.38191e+21 	 4.11496e+21
0.043 	 0.00861278 	 0.834373 	 0 	 0.0188125 	 0.138202 	 30.0325 	 425.409 	 170.505 	 0.0303728 	 0.0260838 	 0.0038121 	 7.5167 	 -31.6635 	 0 	 3.53386e+21 	 1.59513e+20 	 1.38259e+21 	 4.09948e+21
0.044 	 0.00869672 	 0.835063 	 0 	 0.0188791 	 0.137361 	 29.9269 	 425.042 	 170.138 	 0.0304411 	 0.0259474 	 0.00379923 	 7.51264 	 -31.6574 	 0 	 3.52482e+21 	 1.59501e+20 	 1.38326e+21 	 4.08508e+21
0.045 	 0.00880086 	 0.835533 	 0 	 0.0189411 	 0.136725 	 29.8297 	 424.742 	 169.837 	 0.0305167 	 0.0258245 	 0.00378549 	 7.50812 	 -31.6515 	 0 	 3.51592e+21 	 1.59487e+20 	 1.38391e+21 	 4.07179e+21
0.046 	 0.0089158 	 0.835782 	 0 	 0.0189981 	 0.136305 	 29.7407 	 424.512 	 169.607 	 0.0305931 	 0.0257151 	 0.00377173 	 7.50354 	 -31.6461 	 0 	 3.50714e+21 	 1.59474e+20 	 1.38454e+21 	 4.05965e+21
0.047 	 0.00903362 	 0.835827 	 0 	 0.0190505 	 0.136089 	 29.6595 	 424.349 	 169.445 	 0.0306656 	 0.0256187 	 0.00375864 	 7.49918 	 -31.6414 	 0 	 3.49845e+21 	 1.59461e+20 	 1.38515e+21 	 4.04858e+21
0.048 	 0.00914813 	 0.835683 	 0 	 0.0190983 	 0.13607 	 29.5855 	 424.25 	 169.345 	 0.0307306 	 0.0255344 	 0.00374664 	 7.49527 	 -31.6375 	 0 	 3.48981e+21 	 1.59449e+20 	 1.38575e+21 	 4.03848e+21
0.049 	 0.00925476 	 0.835384 	 0 	 0.0191424 	 0.136219 	 29.5174 	 424.205 	 169.3 	 0.0307862 	 0.0254603 	 0.00373597 	 7.49192 	 -31.6343 	 0 	 3.48117e+21 	 1.59436e+20 	 1.38632e+21 	 4.02917e+21
0.05 	 0.00935032 	 0.834959 	 0 	 0.0191835 	 0.136507 	 29.4538 	 424.205 	 169.3 	 0.0308311 	 0.0253946 	 0.00372671 	 7.4892 	 -31.632 	 0 	 3.47253e+21 	 1.59423e+20 	 1.38689e+21 	 4.0205e+21
0.051 	 0.00943292 	 0.834438 	 0 	 0.019222 	 0.136907 	 29.3939 	 424.24 	 169.335 	 0.0308653 	 0.0253353 	 0.00371889 	 7.48713 	 -31.6303 	 0 	 3.46385e+21 	 1.59409e+20 	 1.38745e+21 	 4.01231e+21
0.052 	 0.00950171 	 0.833849 	 0 	 0.0192589 	 0.13739 	 29.3365 	 424.301 	 169.396 	 0.030889 	 0.0252808 	 0.00371244 	 7.48569 	 -31.6293 	 0 	 3.45514e+21 	 1.59396e+20 	 1.38799e+21 	 4.00447e+21
0.053 	 0.00955687 	 0.833221 	 0 	 0.0192947 	 0.137927 	 29.2804 	 424.378 	 169.474 	 0.0309031 	 0.0252292 	 0.00370724 	 7.48482 	 -31.6287 	 0 	 3.4464e+21 	 1.59384e+20 	 1.38854e+21 	 3.99685e+21
0.054 	 0.00959914 	 0.832575 	 0 	 0.0193301 	 0.138495 	 29.2252 	 424.464 	 169.56 	 0.0309089 	 0.0251794 	 0.00370316 	 7.48445 	 -31.6285 	 0 	 3.43759e+21 	 1.59371e+20 	 1.38908e+21 	 3.98929e+21
0.055 	 0.00962989 	 0.83193 	 0 	 0.0193655 	 0.139074 	 29.1698 	 424.552 	 169.647 	 0.0309076 	 0.0251299 	 0.0037 	 7.48449 	 -31.6287 	 0 	 3.42874e+21 	 1.59358e+20 	 1.38962e+21 	 3.98173e+21
0.056 	 0.00965087 	 0.831303 	 0 	 0.0194013 	 0.139645 	 29.1137 	 424.636 	 169.731 	 0.0309008 	 0.0250795 	 0.00369759 	 7.48487 	 -31.629 	 0 	 3.41983e+21 	 1.59345e+20 	 1.39016e+21 	 3.97407e+21
0.057 	 0.00966397 	 0.830704 	 0 	 0.019438 	 0.140194 	 29.0565 	 424.712 	 169.807 	 0.03089 	 0.0250276 	 0.00369573 	 7.48549 	 -31.6294 	 0 	 3.41087e+21 	 1.59332e+20 	 1.39071e+21 	 3.96625e+21
0.058 	 0.00967118 	 0.83014 	 0 	 0.0194757 	 0.140713 	 28.9977 	 424.777 	 169.872 	 0.0308765 	 0.0249736 	 0.00369424 	 7.48627 	 -31.6298 	 0 	 3.40186e+21 	 1.59318e+20 	 1.39126e+21 	 3.95822e+21
0.059 	 0.00967445 	 0.829617 	 0 	 0.0195146 	 0.141193 	 28.9374 	 424.829 	 169.925 	 0.0308616 	 0.0249172 	 0.00369294 	 7.48714 	 -31.6302 	 0 	 3.39284e+21 	 1.59305e+20 	 1.39181e+21 	 3.95e+21
0.06 	 0.00967551 	 0.829134 	 0 	 0.0195547 	 0.141635 	 28.8756 	 424.868 	 169.964 	 0.0308464 	 0.0248583 	 0.00369172 	 7.48803 	 -31.6304 	 0 	 3.38379e+21 	 1.59293e+20 	 1.39237e+21 	 3.94157e+21
0.061 	 0.00967596 	 0.828687 	 0 	 0.0195959 	 0.142041 	 28.8124 	 424.895 	 169.99 	 0.0308318 	 0.0247973 	 0.00369046 	 7.48889 	 -31.6306 	 0 	 3.37471e+21 	 1.59279e+20 	 1.39293e+21 	 3.93293e+21
0.062 	 0.0096771 	 0.828276 	 0 	 0.0196383 	 0.142408 	 28.7477 	 424.909 	 170.004 	 0.0308184 	 0.0247338 	 0.00368901 	 7.48967 	 -31.6306 	 0 	 3.36563e+21 	 1.59266e+20 	 1.39349e+21 	 3.9241e+21
0.063 	 0.00967993 	 0.827897 	 0 	 0.0196817 	 0.142742 	 28.6818 	 424.912 	 170.008 	 0.0308068 	 0.0246683 	 0.00368735 	 7.49035 	 -31.6305 	 0 	 3.35654e+21 	 1.59253e+20 	 1.39406e+21 	 3.91511e+21
0.064 	 0.00968514 	 0.827541 	 0 	 0.0197261 	 0.143048 	 28.6149 	 424.906 	 170.002 	 0.0307972 	 0.0246012 	 0.00368543 	 7.49092 	 -31.6302 	 0 	 3.34746e+21 	 1.5924e+20 	 1.39463e+21 	 3.90599e+21
0.065 	 0.00969325 	 0.827203 	 0 	 0.0197714 	 0.143333 	 28.5473 	 424.893 	 169.989 	 0.0307898 	 0.0245327 	 0.00368322 	 7.49135 	 -31.6297 	 0 	 3.33836e+21 	 1.59227e+20 	 1.39521e+21 	 3.89675e+21
0.066 	 0.00970438 	 0.826876 	 0 	 0.0198172 	 0.143603 	 28.4791 	 424.875 	 169.971 	 0.0307845 	 0.0244632 	 0.00368072 	 7.49166 	 -31.6292 	 0 	 3.32928e+21 	 1.59214e+20 	 1.39578e+21 	 3.88746e+21
0.067 	 0.00971852 	 0.826554 	 0 	 0.0198634 	 0.143864 	 28.4108 	 424.854 	 169.949 	 0.0307811 	 0.0243933 	 0.00367798 	 7.49186 	 -31.6285 	 0 	 3.3202e+21 	 1.59201e+20 	 1.39636e+21 	 3.87811e+21
0.068 	 0.00973549 	 0.826237 	 0 	 0.0199101 	 0.144117 	 28.3421 	 424.83 	 169.926 	 0.0307795 	 0.0243228 	 0.00367497 	 7.49195 	 -31.6278 	 0 	 3.31115e+21 	 1.59188e+20 	 1.39693e+21 	 3.86875e+21
0.069 	 0.00975499 	 0.825914 	 0 	 0.019957 	 0.144374 	 28.2736 	 424.807 	 169.902 	 0.0307793 	 0.0242525 	 0.00367179 	 7.49195 	 -31.627 	 0 	 3.30209e+21 	 1.59176e+20 	 1.39751e+21 	 3.85941e+21
0.07 	 0.00977671 	 0.82559 	 0 	 0.0200042 	 0.144629 	 28.2051 	 424.783 	 169.879 	 0.0307803 	 0.024182 	 0.00366843 	 7.49189 	 -31.6261 	 0 	 3.29304e+21 	 1.59163e+20 	 1.39809e+21 	 3.85005e+21
0.071 	 0.00980013 	 0.825254 	 0 	 0.0200514 	 0.144895 	 28.1368 	 424.762 	 169.857 	 0.030782 	 0.024112 	 0.00366497 	 7.49178 	 -31.6253 	 0 	 3.28398e+21 	 1.5915e+20 	 1.39867e+21 	 3.84071e+21
0.072 	 0.00982488 	 0.824908 	 0 	 0.0200986 	 0.145168 	 28.0688 	 424.743 	 169.838 	 0.0307843 	 0.0240423 	 0.00366141 	 7.49163 	 -31.6244 	 0 	 3.27493e+21 	 1.59136e+20 	 1.39924e+21 	 3.83143e+21
0.073 	 0.00985052 	 0.824554 	 0 	 0.020146 	 0.14545 	 28.001 	 424.726 	 169.821 	 0.0307868 	 0.0239729 	 0.00365781 	 7.49147 	 -31.6235 	 0 	 3.2659e+21 	 1.59124e+20 	 1.39982e+21 	 3.82219e+21
0.074 	 0.00987671 	 0.824188 	 0 	 0.0201933 	 0.145742 	 27.9336 	 424.712 	 169.807 	 0.0307894 	 0.0239041 	 0.00365421 	 7.49131 	 -31.6227 	 0 	 3.25686e+21 	 1.5911e+20 	 1.40039e+21 	 3.81298e+21
0.075 	 0.00990312 	 0.823813 	 0 	 0.0202407 	 0.146043 	 27.8663 	 424.7 	 169.796 	 0.0307918 	 0.0238356 	 0.0036506 	 7.49115 	 -31.6218 	 0 	 3.24784e+21 	 1.59098e+20 	 1.40097e+21 	 3.80382e+21
0.076 	 0.00992945 	 0.823429 	 0 	 0.0202881 	 0.146354 	 27.7996 	 424.691 	 169.787 	 0.030794 	 0.0237678 	 0.00364705 	 7.49101 	 -31.621 	 0 	 3.23882e+21 	 1.59086e+20 	 1.40154e+21 	 3.7947e+21
0.077 	 0.00995557 	 0.823036 	 0 	 0.0203355 	 0.146673 	 27.733 	 424.684 	 169.78 	 0.0307958 	 0.0237002 	 0.00364352 	 7.49089 	 -31.6203 	 0 	 3.22979e+21 	 1.59073e+20 	 1.40212e+21 	 3.78561e+21
0.078 	 0.00998129 	 0.822635 	 0 	 0.0203831 	 0.147001 	 27.6665 	 424.679 	 169.774 	 0.0307971 	 0.023633 	 0.00364005 	 7.4908 	 -31.6195 	 0 	 3.22076e+21 	 1.59061e+20 	 1.40269e+21 	 3.77654e+21
0.079 	 0.0100066 	 0.822229 	 0 	 0.0204308 	 0.147334 	 27.6002 	 424.675 	 169.77 	 0.0307981 	 0.0235659 	 0.00363662 	 7.49073 	 -31.6188 	 0 	 3.21172e+21 	 1.59048e+20 	 1.40326e+21 	 3.76748e+21
0.08 	 0.0100313 	 0.821819 	 0 	 0.0204786 	 0.147671 	 27.5339 	 424.672 	 169.767 	 0.0307986 	 0.0234989 	 0.00363324 	 7.49069 	 -31.6181 	 0 	 3.20267e+21 	 1.59035e+20 	 1.40383e+21 	 3.75842e+21
0.081 	 0.0100556 	 0.821403 	 0 	 0.0205266 	 0.148015 	 27.4677 	 424.67 	 169.765 	 0.0307987 	 0.0234321 	 0.00362989 	 7.49067 	 -31.6175 	 0 	 3.19362e+21 	 1.59022e+20 	 1.40441e+21 	 3.74939e+21
0.082 	 0.0100794 	 0.82099 	 0 	 0.0205749 	 0.148356 	 27.4014 	 424.667 	 169.763 	 0.0307986 	 0.0233651 	 0.00362658 	 7.49067 	 -31.6168 	 0 	 3.18459e+21 	 1.5901e+20 	 1.40498e+21 	 3.74035e+21
0.083 	 0.0101028 	 0.820572 	 0 	 0.0206234 	 0.148702 	 27.3352 	 424.665 	 169.761 	 0.0307981 	 0.0232983 	 0.00362332 	 7.49069 	 -31.6161 	 0 	 3.17553e+21 	 1.58997e+20 	 1.40556e+21 	 3.73129e+21
0.084 	 0.010126 	 0.820151 	 0 	 0.0206722 	 0.14905 	 27.2688 	 424.663 	 169.759 	 0.0307974 	 0.0232314 	 0.00362007 	 7.49072 	 -31.6155 	 0 	 3.16647e+21 	 1.58984e+20 	 1.40613e+21 	 3.72225e+21
0.085 	 0.0101489 	 0.819729 	 0 	 0.0207212 	 0.149401 	 27.2025 	 424.661 	 169.756 	 0.0307964 	 0.0231645 	 0.00361684 	 7.49076 	 -31.6148 	 0 	 3.15741e+21 	 1.58972e+20 	 1.4067e+21 	 3.71319e+21
0.086 	 0.0101717 	 0.819312 	 0 	 0.0207706 	 0.149746 	 27.136 	 424.657 	 169.753 	 0.0307955 	 0.0230972 	 0.00361361 	 7.4908 	 -31.6142 	 0 	 3.14834e+21 	 1.58959e+20 	 1.40728e+21 	 3.70411e+21
0.087 	 0.0101945 	 0.818888 	 0 	 0.0208203 	 0.150097 	 27.0694 	 424.654 	 169.749 	 0.0307945 	 0.02303 	 0.00361038 	 7.49085 	 -31.6135 	 0 	 3.13925e+21 	 1.58945e+20 	 1.40785e+21 	 3.69501e+21
0.088 	 0.0102173 	 0.818466 	 0 	 0.0208702 	 0.150447 	 27.0028 	 424.65 	 169.745 	 0.0307934 	 0.0229627 	 0.00360714 	 7.49091 	 -31.6129 	 0 	 3.13018e+21 	 1.58933e+20 	 1.40843e+21 	 3.68593e+21
0.089 	 0.0102402 	 0.818045 	 0 	 0.0209206 	 0.150794 	 26.936 	 424.645 	 169.74 	 0.0307924 	 0.0228951 	 0.00360389 	 7.49095 	 -31.6122 	 0 	 3.12108e+21 	 1.58919e+20 	 1.409e+21 	 3.67679e+21
0.09 	 0.0102633 	 0.817624 	 0 	 0.0209712 	 0.151141 	 26.869 	 424.639 	 169.735 	 0.0307915 	 0.0228273 	 0.00360062 	 7.491 	 -31.6115 	 0 	 3.11199e+21 	 1.58906e+20 	 1.40958e+21 	 3.66766e+21
0.091 	 0.0102865 	 0.817199 	 0 	 0.0210221 	 0.151493 	 26.8021 	 424.634 	 169.729 	 0.0307906 	 0.0227597 	 0.00359734 	 7.49104 	 -31.6108 	 0 	 3.1029e+21 	 1.58893e+20 	 1.41016e+21 	 3.65854e+21
0.092 	 0.01031 	 0.816774 	 0 	 0.0210733 	 0.151843 	 26.7353 	 424.628 	 169.723 	 0.0307898 	 0.0226919 	 0.00359405 	 7.49108 	 -31.6102 	 0 	 3.09382e+21 	 1.5888e+20 	 1.41073e+21 	 3.64941e+21
0.093 	 0.0103337 	 0.81635 	 0 	 0.0211248 	 0.152191 	 26.6682 	 424.621 	 169.717 	 0.0307891 	 0.0226239 	 0.00359073 	 7.4911 	 -31.6094 	 0 	 3.08472e+21 	 1.58867e+20 	 1.41131e+21 	 3.64025e+21
0.094 	 0.0103577 	 0.815921 	 0 	 0.0211766 	 0.152545 	 26.6012 	 424.615 	 169.71 	 0.0307884 	 0.0225561 	 0.00358741 	 7.49113 	 -31.6087 	 0 	 3.07562e+21 	 1.58854e+20 	 1.41189e+21 	 3.6311e+21
0.095 	 0.0103819 	 0.815492 	 0 	 0.0212287 	 0.152897 	 26.5341 	 424.608 	 169.703 	 0.0307879 	 0.022488 	 0.00358405 	 7.49115 	 -31.608 	 0 	 3.06651e+21 	 1.5884e+20 	 1.41246e+21 	 3.62193e+21
0.096 	 0.0104063 	 0.815061 	 0 	 0.0212811 	 0.153252 	 26.4669 	 424.601 	 169.696 	 0.0307874 	 0.0224199 	 0.00358068 	 7.49117 	 -31.6073 	 0 	 3.05741e+21 	 1.58827e+20 	 1.41304e+21 	 3.61277e+21
